西青区大寺宇泰家园,"117.218933,39.034264"
河西区天塔体院宿舍,"117.195305,39.08236"
西青区大寺梨双公寓,"117.254341,39.028535"
河东区鲁山道太阳城橙翠园,"117.285207,39.163422"
河西区大营门凯德国贸,"117.22295,39.119777"
宝坻区钰华街裕和家园,"117.331106,39.715307"
西青区精武姚村景福花园,"117.121182,39.06139"
红桥区铃铛阁街乐安里,"117.157344,39.151494"
河西区陈塘庄秀峰里小区,"117.274218,39.066062"
河西区天塔宾水东里,"117.198112,39.088564"
和平区滨江道和平里尊盛园,"117.191192,39.127408"
南开区体育中心金禧园小区(南开),"117.168367,39.07751"
西青区侯台侯台家园,"117.118222,39.10757"
红桥区铃铛阁街西关北里,"117.175637,39.148452"
北辰区北仓蓝岸森林,"117.15203,39.218547"
河西区陈塘庄古芳里,"117.252796,39.088649"
津南区双港天房意境,"117.303173,39.017993"
河北区新开河街润泰园,"117.191642,39.17649"
西青区精武姚村景福花园,"117.121182,39.06139"
北辰区小淀新城樾风华碧樾园,"117.242052,39.257951"
津南区双港首创昆兰苑(商住楼),"117.284823,39.024378"
河西区小海地华江里,"117.265212,39.062419"
红桥区丁字沽街亿城堂庭(商住楼),"117.159515,39.179051"
红桥区西沽街龙禧园,"117.145488,39.168255"
东丽区空港经济区颐景公寓,"117.408182,39.15419"
河东区上杭路红星大厦,"117.260193,39.127482"
北辰区宜兴埠花香漫城,"117.243053,39.23297"
蓟州区渔阳镇州河湾南园(五期),"117.431114,40.013022"
东丽区无瑕街丽霞里,"117.506726,39.054741"
河西区马场道马场街先进里社区,"117.1986,39.104918"
红桥区大胡同街海河华鼎,"117.19862,39.153316"
河北区建昌道街中山北里,"117.233929,39.177856"
北辰区北仓蓝岸森林,"117.15203,39.218547"
南开区王顶堤凤园北里,"117.154555,39.096659"
河东区春华街巨福新园,"117.22319,39.144831"
塘沽区杭州道街隆盛花园,"114.209055,22.655739"
和平区南营门天赐园(和平),"117.188903,39.125106"
滨海新区中新生态城龙湖九里晴川天麟苑,"117.722447,39.101376"
南开区鼓楼东北角艺术公寓,"117.195596,39.150862"
西青区李七庄悦雅国际,"117.190615,39.062484"
宝坻区海滨街万科城市之光(宝坻),"117.348427,39.730391"
东丽区新立镇,"117.320569,39.092332"
津南区双港欣悦佳园,"117.297673,39.010652"
南开区鼓楼煦园新居,"117.193917,39.145412"
津南区津南八里台大唐盛世唐玺雅苑,"117.367753,38.91641"
北辰区果园新村霞光里(北辰),"117.143449,39.226015"
塘沽区渤海石油街万科金域国际B区,"113.871174,22.787907"
北辰区小淀新城樾风华青樾园,"117.238369,39.261598"
武清区下朱庄街君利新家园,"117.090796,39.318883"
河西区下瓦房富裕大厦(商住楼),"117.236845,39.106112"
塘沽区向阳街米兰世纪花园(别墅),"116.405084,39.868011"
红桥区芥园街泉春里,"117.174615,39.154009"
西青区张家窝津门正荣府,"117.061253,39.067505"
津南区双港善和园,"117.296565,39.027899"
河北区新开河街盛和家园,"117.192549,39.193458"
北辰区天穆天穆东里,"117.173306,39.195158"
南开区王顶堤塞纳公馆,"117.154826,39.107324"
武清区杨村街卧龙潭庄园,"117.069585,39.403329"
红桥区咸阳北路街程光里,"117.151613,39.187215"
河东区上杭路中储正荣栋境,"117.265611,39.124362"
西青区中北枫桦园,"117.081601,39.131151"
南开区王顶堤金厦里,"117.15059,39.102913"
开发区第一大街索亚万丽国际公寓,"114.996337,35.804964"
武清区杨村街运泽花园小区(中区),"117.083051,39.396244"
河西区桃园街湛江路新村,"117.208314,39.110191"
北辰区宜兴埠宜淞园,"117.230784,39.205343"
和平区南市天汇中心,"117.195182,39.137008"
南开区华苑康达尚郡,"117.136577,39.09689"
北辰区果园新村朝阳里(北辰),"117.144737,39.227527"
东丽区张贵庄街民和巷景苑,"117.332769,39.096942"
南开区华苑安华里,"117.146844,39.082979"
河东区富民路雅仕兰庭,"117.277044,39.095482"
北辰区双街镇柴楼新庄园竹园,"117.113108,39.275952"
北辰区集贤里祥泽园,"117.139377,39.234059"
塘沽区新港街东海云天,"117.714189,39.019685"
河东区东新街凤岐里,"117.279596,39.146566"
红桥区卲公庄街千禧园(西区),"117.143473,39.162115"
滨海新区滨海城区荷塘苑,"117.635383,39.131339"
津南区津南八里台星耀五洲澜海庄园,"117.347325,38.908516"
津南区津南八里台星耀五洲澜海庄园,"117.347325,38.908516"
东丽区金钟街溪水河畔花园(商住楼),"117.270981,39.171783"
北辰区北仓蓝岸森林,"117.15203,39.218547"
北辰区双街镇城际美景,"117.122651,39.283211"
河西区梅江天津瑞府,"117.256704,39.047191"
塘沽区杭州道街中心北里,"117.66709,39.047293"
河东区富民路招商雍景湾,"117.272129,39.08976"
和平区南营门竞业里,"117.193871,39.11889"
河东区春华街城市之光星光园(河东),"117.219619,39.146602"
北辰区双街镇融创半湾半岛,"117.101681,39.279592"
津南区双港象博豪庭,"117.293194,39.050475"
东丽区无瑕街畅月里,"117.499313,39.051124"
东丽区无瑕街畅月里,"117.499313,39.051124"
河东区鲁山道云丽园,"117.28785,39.155981"
河东区常州道近营里,"117.256403,39.159073"
河西区大营门无锡道大楼小区,"117.222761,39.115948"
和平区新兴街锦江楼,"117.192981,39.112333"
河西区柳林振财里,"117.276526,39.068358"
河西区天塔气象南里,"117.1915,39.094782"
河东区大直沽荣兴温泉公寓,"117.244444,39.121307"
河东区二号桥福东里,"117.311282,39.099901"
武清区王庆坨镇悦公馆,"116.940937,39.180752"
南开区体育中心金研里,"117.173364,39.07825"
东丽区万新街东城家园,"117.302841,39.120233"
东丽区万新街畅悦华庭,"117.29789,39.129489"
河西区小海地三水南里,"117.269569,39.061719"
河西区马场道文静里,"117.206033,39.100004"
北辰区果园新村旭日里,"117.143814,39.225349"
河东区富民路棉三宿舍,"117.253871,39.098824"
南开区体育中心招商钻石山星城,"117.188571,39.081199"
宝坻区大白街锦绣香江芙蓉湾花园,"117.417645,39.492545"
东丽区利津路景翠园,"117.31458,39.098626"
武清区杨村街五一阳光锦园,"117.093068,39.320443"
河东区中山门丰乐里,"117.279911,39.107437"
津南区小站莲香园(东区),"117.451166,38.940978"
宝坻区大白街恒大花溪小镇,"117.435332,39.489669"
南开区学府街天大北五村,"117.18156,39.121168"
河北区光复道街昌海公寓,"117.211744,39.152875"
武清区王庆坨镇悦公馆,"116.940937,39.180752"
西青区侯台侯台花园,"117.123508,39.107076"
北辰区青光荣业园,"117.141403,39.230344"
河西区陈塘庄贵山里,"117.275607,39.061227"
塘沽区向阳街金福里(滨海),"119.833717,34.00981"
塘沽区渤海石油街和盛苑,"113.871174,22.787907"
武清区杨村街中信广场国际公寓,"117.079476,39.376725"
津南区双港鑫港园,"117.326151,39.040234"
河东区春华街华康里,"117.229851,39.151164"
南开区长虹街雅环里,"117.148754,39.152608"
武清区王庆坨镇金水湾(武清),"116.887254,39.187149"
东丽区华明镇建邦时代汇,"117.39184,39.173248"
西青区杨柳青锦绣欣居,"117.031448,39.144404"
河西区小海地桂江里(河西),"117.268908,39.057886"
宁河区芦台镇愉悦港湾,"117.847343,39.334273"
东丽区空港经济区颐景公寓,"117.408182,39.15419"
塘沽区西大沽街贻成泰和新都,"117.705973,39.041528"
津南区小站东风里(津南),"117.454553,38.934467"
南开区鼓楼煦园新居,"117.193917,39.145412"
北辰区普东街普东新苑,"117.206766,39.19505"
西青区大寺首创福特纳湾金瀚园,"117.226252,39.006603"
东丽区华明镇金泰丽湾,"117.382608,39.174144"
红桥区丁字沽街风貌里,"117.172473,39.179344"
和平区南市天汇尚苑(天津大都会),"117.193129,39.1384"
河西区越秀路中豪世纪花园,"117.225238,39.100934"
武清区杨村街香江广场,"117.093068,39.320443"
西青区杨柳青柳溪苑,"117.008504,39.145281"
武清区下朱庄街保利溪湖林语逸湖苑,"117.09861,39.351811"
南开区鼓楼龙亭家园,"117.190003,39.15091"
津南区津南八里台星耀五洲澜海庄园,"117.347325,38.908516"
蓟州区渔阳镇万晴园(蓟州),"117.413377,40.040339"
塘沽区北塘街欣平苑,"121.527236,30.921756"
武清区下朱庄街花样年花郡,"117.119696,39.339494"
南开区华苑长华里,"117.14573,39.091637"
河西区马场道中央公馆,"117.198816,39.106096"
南开区水上公园阳光100天塔喜马拉雅,"117.18553,39.09771"
河西区挂甲寺天津湾海景雅苑,"117.24688,39.097958"
西青区杨柳青乐美花园,"117.031327,39.123655"
西青区中北枫桦园,"117.081601,39.131151"
北辰区宜兴埠秋晨家园,"117.227177,39.193269"
西青区张家窝津门正荣府,"117.061253,39.067505"
北辰区普东街国宜北里,"117.206663,39.198563"
南开区王顶堤塞纳公馆,"117.154826,39.107324"
南开区体育中心金庄公寓,"117.188269,39.076666"
西青区中北运通花园,"117.112571,39.150166"
北辰区青光双青新家园荣康园,"117.091142,39.21152"
南开区鼓楼铜锣湾花园,"117.194513,39.144059"
塘沽区向阳街时代大厦,"116.134344,39.736694"
静海区静海镇美丽新都,"116.968736,38.947438"
河东区鲁山道路劲太阳城皓阳园,"117.280463,39.161265"
西青区中北枫桦园,"117.081601,39.131151"
塘沽区向阳街米兰世纪花园(别墅),"116.405084,39.868011"
北辰区大张庄镇新城悦隽风华滨斓苑,"117.22227,39.314898"
河东区上杭路红星大厦,"117.260193,39.127482"
西青区中北东兴里(西区),"117.094284,39.134908"
北辰区青光盛锦园,"117.141403,39.230344"
北辰区果园新村霞光里(北辰),"117.143449,39.226015"
河东区大王庄绚丽园,"117.225137,39.137363"
东丽区空港经济区金地悦城大境,"117.418821,39.148496"
东丽区张贵庄街润风家园,"117.315617,39.10983"
北辰区瑞景街盛庭名景花园,"117.112722,39.218734"
滨海新区滨海城区贝肯山金栗园,"117.71864,39.022248"
西青区李七庄松江城,"117.174554,39.062277"
塘沽区杭州道街弘泽城,"117.681847,39.04018"
河东区大直沽东和家园,"117.255503,39.118857"
滨海新区中新生态城鲲玉园,"117.745049,39.120923"
塘沽区胡家园街星光苑,"113.93749,22.785109"
河北区望海楼街仁恒河滨花园,"117.192587,39.165308"
北辰区北仓北辰红星国际广场(商住楼),"117.145583,39.221164"
塘沽区胡家园街红光家园,"116.38186,40.094774"
塘沽区北塘街欣然苑,"117.642228,39.135659"
河西区友谊路北大资源阅城,"117.247195,39.084218"
宝坻区宝平街腾悦馨园,"117.308955,39.724702"
静海区团泊镇梧桐公社(北里),"117.099852,38.983077"
南开区嘉陵道雅阳家园,"117.138978,39.134912"
西青区李七庄汇颐花园,"117.188749,39.067726"
塘沽区工农村街晓镇家园,"117.676766,39.053841"
西青区李七庄松江城,"117.174554,39.062277"
河东区常州道东瑞家园,"117.267211,39.163671"
西青区张家窝万科翡翠大道翡翠北苑,"117.079271,39.07224"
北辰区青光荣业园,"117.141403,39.230344"
武清区杨村街经纬城市绿洲华清家园,"117.01534,39.38594"
和平区南营门瑞竹大厦,"117.188634,39.126063"
西青区张家窝杰盛里,"117.041148,39.07098"
南开区鼓楼煦园新居,"117.193917,39.145412"
武清区杨村街保利上河雅颂(南区),"117.040683,39.383436"
开发区第三大街世纪新村,"114.996337,35.804964"
南开区王顶堤保利云禧,"117.144351,39.098568"
河北区鸿顺里街月秋里,"117.208154,39.165722"
北辰区宜兴埠宜淞园,"117.230784,39.205343"
北辰区普东街远洋未来城冬博苑,"117.227214,39.20892"
塘沽区向阳街吉宁里,"117.669434,39.038937"
和平区南市蒙古路13-15号楼,"117.195541,39.133361"
南开区鼓楼中交海河公馆,"117.156515,39.144105"
塘沽区新港街千间宿舍十二段,"117.722537,39.003477"
东丽区空港经济区新城长风雅著,"117.422783,39.150942"
南开区向阳路冶金东里,"117.138604,39.150876"
和平区新兴街同安道3-5号楼,"117.187302,39.11026"
北辰区宜兴埠宜淞园,"117.230784,39.205343"
南开区万兴街红磡公寓,"117.163593,39.128352"
河东区大直沽津塘公寓,"117.251765,39.121076"
和平区南市天汇中心,"117.195182,39.137008"
河西区大营门凯德国贸,"117.22295,39.119777"
南开区王顶堤林苑北里,"117.147162,39.095751"
河东区上杭路红星大厦,"117.260193,39.127482"
津南区咸水沽紫江馨苑,"117.40248,38.990966"
北辰区北仓辰庆家园,"117.161567,39.232791"
北辰区佳荣里街瑞桐家园,"117.115633,39.19324"
武清区杨村街五一阳光锦园,"117.093068,39.320443"
塘沽区向阳街延安里,"109.501184,36.65609"
西青区新梅江南保富国际,"117.202671,39.062846"
和平区南营门融创星河和平印,"117.192757,39.125239"
塘沽区新河街漓江里(滨海),"119.827621,33.995647"
北辰区普东街远洋未来城沁雅苑,"117.227214,39.20892"
北辰区宜兴埠正荣府,"117.181677,39.241849"
北辰区北仓都汇杰座,"117.133678,39.228774"
河北区鸿顺里街昆璞里,"117.213831,39.166625"
北辰区集贤里祥诚新苑,"117.144104,39.24203"
河北区望海楼街金兆园,"117.206855,39.159667"
南开区体育中心时代奥城商住楼,"117.172779,39.083989"
塘沽区新港街紫云雅苑,"117.704086,39.018955"
开发区第五大街启航嘉园,"114.996337,35.804964"
北辰区宜兴埠正荣府,"117.181677,39.241849"
河东区常州道东惠家园,"117.26767,39.161257"
东丽区华明镇天欣花园,"117.429439,39.179829"
西青区李七庄融泰城,"117.15622,39.056378"
南开区华苑华苑新城程华里,"117.15324,39.078145"
南开区华苑安华里,"117.146844,39.082979"
大港区古林街福芳园,"117.501596,38.862208"
红桥区卲公庄街龙悦花园,"117.148099,39.155478"
河东区上杭路红星大厦,"117.260193,39.127482"
南开区体育中心时代奥城商住楼,"117.172779,39.083989"
西青区李七庄悦雅国际,"117.190615,39.062484"
北辰区宜兴埠恒大御景湾,"117.190082,39.231918"
和平区南营门融创星河和平印,"117.192757,39.125239"
西青区新梅江南恒祥佳园,"117.196984,39.04834"
南开区黄河道熙汇广场,"117.129274,39.143159"
东丽区华明镇天欣花园,"117.429439,39.179829"
和平区南营门天赐园(和平),"117.188903,39.125106"
北辰区北仓北辰红星国际广场(商住楼),"117.145583,39.221164"
东丽区华明镇悦园,"117.380257,39.18519"
东丽区东丽湖月憬苑,"117.504609,39.187628"
津南区双港万科仕林苑,"117.291416,39.063861"
塘沽区工农村街盛星东海岸,"117.648259,39.06919"
南开区王顶堤迎风里,"117.153882,39.089824"
河东区上杭路万欣城菊园,"117.272273,39.125948"
北辰区双街镇国耀上河城,"117.110534,39.271231"
塘沽区渤海石油街和盛苑,"113.871174,22.787907"
东丽区空港经济区YOHO湾,"117.40033,39.162112"
津南区津南八里台中海公园城尚湖苑,"117.347692,38.919371"
武清区杨村街天鹅湖壹号,"117.063058,39.41904"
东丽区先锋路海颂园,"117.31047,39.089547"
河东区大王庄新义信里,"117.229471,39.135645"
南开区万兴街三潭东里,"117.16088,39.12381"
河东区春华街城市之光月光园(河东),"117.218835,39.145216"
西青区大寺佳和雅庭,"117.268183,39.00188"
河西区柳林柳苑公寓,"117.2747,39.080918"
静海区静海镇九通家园,"116.96435,38.934403"
蓟州区文昌街府君里,"117.424262,40.058203"
南开区向阳路乐园里,"117.134386,39.154081"
东丽区大毕庄镇新村北里,"117.274831,39.20741"
河西区小海地桂江公寓,"117.270561,39.05896"
红桥区芥园街宜兰里,"117.155052,39.156433"
北辰区集贤里紫罗园,"117.141643,39.243215"
宁河区芦台镇顺兴小区,"117.821852,39.328906"
西青区新梅江南高雅公寓,"117.199512,39.052838"
大港区胜利街四化里(滨海),"117.209485,39.106803"
河西区天塔宾水北里,"117.195183,39.088791"
宝坻区海滨街瑞景花园,"117.317846,39.728157"
北辰区小淀秀水馨苑,"117.231558,39.257025"
塘沽区塘沽新村街正康里,"117.659531,39.023768"
河西区友谊路寿园里,"117.208379,39.083475"
西青区中北运通花园,"117.112571,39.150166"
红桥区咸阳北路街昌图楼,"117.149936,39.194169"
河西区天塔富满里,"117.197598,39.076291"
南开区华苑安华里,"117.146844,39.082979"
塘沽区大沽街安阳里(大沽),"114.3995,36.105941"
津南区双港顺和园,"117.292052,39.028896"
大港区古林街福渔园,"117.499035,38.855675"
西青区中北溪景苑,"117.07902,39.129794"
南开区长虹街宜川北里,"117.158639,39.14523"
河西区挂甲寺美宁公寓,"117.245062,39.101683"
河北区鸿顺里街,"117.203593,39.153485"
津南区咸水沽广建里,"117.401145,38.991301"
东丽区军粮城军祥园,"117.447396,39.065228"
和平区南营门文化村小区,"117.187528,39.121387"
塘沽区新河街湘江里,"117.65061,39.04765"
津南区津南八里台中海公园城望湖苑,"117.364847,38.91572"
塘沽区胡家园街旭辉香郡,"117.592211,39.026742"
西青区精武姚村景福花园,"117.121182,39.06139"
塘沽区新港街胜阳里,"117.695568,39.012344"
红桥区西沽街龙禧园,"117.145488,39.168255"
西青区大寺金友花园,"117.233048,39.000191"
塘沽区北塘街欣嘉园公寓,"121.416314,31.186769"
河东区富民路滨河新苑,"117.26949,39.093074"
北辰区北仓潞河丽苑,"117.092067,39.237802"
武清区杨村街博盛园,"117.066003,39.396024"
津南区津南八里台星耀五洲澜海庄园,"117.347325,38.908516"
东丽区万新街融创融园汇莲馨苑,"117.296526,39.1264"
河东区东新街松风西里,"117.282103,39.150023"
东丽区万新街香邑国际,"117.312833,39.144185"
滨海新区滨海城区喜塘苑,"117.632114,39.137755"
西青区侯台侯台家园,"117.118222,39.10757"
西青区杨柳青柳轩苑,"117.036605,39.144852"
南开区天拖南盈江西里,"117.141155,39.109239"
西青区侯台津洲花园,"117.10592,39.103904"
西青区大寺金友花园,"117.233048,39.000191"
西青区大寺金谊花园,"117.228472,38.997635"
武清区杨村街尚清湾(北区),"117.067692,39.417343"
南开区向阳路平定里,"117.138488,39.149547"
红桥区双环邨街碧春园,"117.157518,39.173286"
西青区李七庄悦雅花园(AC区),"117.188992,39.064126"
塘沽区新港街世纪祥和家园(滨海),"119.827621,33.995647"
塘沽区北塘街阅海名筑,"114.126847,22.549529"
河西区越秀路港云里,"117.219985,39.105341"
红桥区西沽街水木天成阁林园,"117.142024,39.166028"
河东区东新街松风东里,"117.284746,39.150837"
红桥区西沽街水竹花园,"117.162163,39.168531"
河西区柳林振财里,"117.276526,39.068358"
西青区大寺赤龙家园,"117.237149,38.992532"
河东区春华街华腾里,"117.232946,39.149411"
津南区津南八里台海尔格林小镇风笛庭院,"117.368414,38.922427"
津南区咸水沽新城和兴府,"117.39788,38.993092"
河东区常州道东瑞家园,"117.267211,39.163671"
北辰区大张庄镇金侨瑞公馆(一期),"117.213916,39.310853"
西青区新梅江南富力津门湖红树棕榈花园,"117.216049,39.066694"
河西区陈塘庄四信公寓,"117.25364,39.085029"
武清区杨村街同泽园(武清),"117.065136,39.388508"
南开区向阳路宜君北里,"117.12846,39.152524"
西青区大寺福泉花苑,"117.21938,39.015218"
北辰区北仓瑞翔家园,"117.132241,39.211127"
北辰区果园新村丹凤里,"117.145093,39.228522"
南开区嘉陵道川北里,"117.13232,39.133992"
西青区新梅江南富力津门湖江湾广场,"117.212955,39.06897"
南开区水上公园水上温泉花园,"117.159524,39.085764"
南开区鼓楼中交海河公馆,"117.156515,39.144105"
塘沽区北塘街欣雅苑,"121.633911,31.328636"
武清区杨村街新湾花园(北园),"117.093068,39.320443"
西青区李七庄程华欣苑,"117.152366,39.057542"
和平区体育馆福林里,"117.202521,39.11744"
河西区梅江御江臺,"117.243895,39.052474"
西青区新梅江南富力津门湖红树棕榈花园,"117.216049,39.066694"
宝坻区钰华街玺悦峰,"117.318934,39.696944"
和平区新兴街犀地,"117.196699,39.108892"
武清区杨村街新湾花园(北园),"117.093068,39.320443"
河西区大营门祺寿里,"117.223984,39.115134"
西青区李七庄悦雅花园(AC区),"117.188992,39.064126"
北辰区集贤里饶河里,"117.139889,39.235133"
河东区大王庄中海城市广场,"117.22391,39.129987"
南开区向阳路怡园里,"117.134433,39.152831"
北辰区青光荣溪园,"117.141403,39.230344"
武清区杨村街保利上河雅颂(北区),"117.043552,39.387714"
北辰区小淀万达青年城,"117.254634,39.240318"
河西区小海地华江里,"117.265212,39.062419"
河西区小海地华江里,"117.265212,39.062419"
津南区咸水沽新旭园,"117.402665,38.987349"
河东区大直沽荣兴温泉公寓,"117.244444,39.121307"
和平区劝业场保疆里,"117.192046,39.128965"
河西区天塔司法警校宿舍,"117.195591,39.078051"
南开区王顶堤迎风里,"117.153882,39.089824"
北辰区宜兴埠宜鹏园,"117.213038,39.20536"
