红桥区西沽街大成中环城,"117.152359,39.163208"
河西区友谊路寿园里,"117.201554,39.077126"
河北区王串场环盛里,"117.231103,39.157834"
西青区张家窝家兴里,"117.023884,39.078604"
河东区上杭路程林里小区,"117.262350,39.126870"
河北区光复道北岸华庭,"117.207583,39.148402"
和平区新兴街振河里,"117.185554,39.104325"
红桥区西沽街河怡花园,"117.134898,39.166694"
津南区咸水沽宝业馨苑,"117.392268,38.977423"
河西区柳林街玉峰花园,"117.270306,39.056651"
北辰区天穆镇绿岛家园,"117.148759,39.211519"
河西区下瓦房海华里,"117.238297,39.099207"
北辰区瑞景居住区奥林匹克花园玉兰苑,"117.119880,39.198744"
河西区越秀路海天尚景园,"117.215303,39.098932"
河西区柳林街云山里,"117.267850,39.061280"
河东区唐家口月泉公寓,"117.233118,39.135819"
滨海新区胡家园万科观澜,"117.590183,39.021784"
河西区天塔街环湖中路,"117.188714,39.080892"
河东区二号桥街紫乐名轩,"117.284600,39.093884"
滨海新区古林街汇德园,"117.498618,38.859209"
津南区海河教育园区龙湖樘樾,"117.364049,38.972206"
南开区万兴街白堤东里,"117.161093,39.120790"
河西区马场街紫金山路,"117.194141,39.082929"
南开区王顶堤凤园里,"117.146942,39.088626"
武清区杨村和平里小区南区,"117.049338,39.371795"
河北区新开河隆成家园,"117.184996,39.181162"
河西区东海街三水南里,"117.263153,39.056982"
南开区兴南街城南家园,"117.174884,39.135802"
红桥区铃铛阁西关北里,"117.168662,39.142719"
南开区水上公园街水上温泉,"117.152938,39.080128"
南开区华苑天华里社区,"117.137435,39.078339"
西青区辛口镇新景园（西青）,"116.965574,39.086802"
和平区劝业场协昌里三条,"117.188742,39.123250"
西青区李七庄宏城御溪园,"117.153687,39.050215"
河西区挂甲寺新城小区,"117.234346,39.090163"
津南区双港福港园(津南区),"117.316234,39.039308"
河北区鸿顺里街择仁里,"117.205132,39.164443"
西青区津门湖海逸长洲瀚波园,"117.209986,39.056470"
红桥区芥园道先春园隆春里,"117.164072,39.148282"
武清区黄庄品澜花苑,"117.047361,39.350210"
河西区友谊路纯正里,"117.216633,39.077193"
滨海新区新北街贻成豪庭,"117.653410,39.068847"
和平区南营门街五爱里,"117.185797,39.119350"
红桥区西沽街青春里,"117.170720,39.170556"
西青区中北镇旭水蓝轩,"117.103749,39.118773"
武清区保利金街保利海棠湾,"117.033771,39.391101"
河东区春华街惠康家园,"117.221206,39.143851"
河北区江都路民权门南里,"117.233153,39.163415"
河东区春华街华亭里(河东区),"117.227571,39.140392"
河西区友谊路清泽园,"117.209905,39.075843"
南开区王顶堤堤翠家园,"117.137254,39.096178"
东丽区万新街上东金茂智慧科学城,"117.291791,39.112300"
北辰区宜兴埠宜鹏园,"117.206556,39.201389"
南开区嘉陵道街嘉陵南里,"117.136964,39.125951"
南开区王顶堤园荫里,"117.146661,39.090808"
河北区月牙河印江北里,"117.250330,39.161336"
西青区西营门盛和嘉园,"117.104849,39.166443"
东丽区金钟街保利玫瑰湾,"117.265550,39.165756"
东丽区空港经济区绿城·桂语听蘭,"117.428077,39.151066"
河西区新梅江全运村麦李园,"117.259873,39.042137"
武清区东蒲洼街蒲瑞馨园北区,"117.003395,39.400644"
南开区嘉陵道街川南里,"117.128270,39.123069"
和平区小白楼承德道,"117.207908,39.126908"
武清区黄庄亚泰澜公馆,"117.031325,39.361409"
南开区水上公园街观景里,"117.150105,39.089723"
河北区月牙河灵江里,"117.254731,39.167197"
东丽区华明镇华丰家园,"117.418072,39.175682"
红桥区咸阳北路彰武楼,"117.144482,39.184182"
河北区王串场萃华里,"117.231755,39.151071"
西青区津门湖格调初晴,"117.203213,39.042123"
河西区下瓦房西楼后街,"117.220090,39.102874"
河东区二号桥街福东里,"117.303927,39.093470"
红桥区丁字沽街桃花园南里,"117.168806,39.181679"
河西区柳林街秀峰里,"117.267834,39.060034"
河西区下瓦房同善里,"117.223378,39.103233"
武清区杨村林业公寓,"117.061394,39.374770"
东丽区华明镇恒大名都花园,"117.412781,39.170891"
东丽区万新街欣圆小区,"117.289017,39.087279"
河西区尖山名都公寓,"117.230074,39.071823"
滨海新区大港街地球村,"117.451163,38.865819"
西青区李七庄天房美域华庭,"117.189813,39.059222"
津南区八里台中海国际公园城镜湖苑,"117.357750,38.907788"
武清区体育中心盛世景园,"117.011310,39.386715"
河西区挂甲寺美好里,"117.235368,39.090290"
南开区向阳路宜君北里,"117.122508,39.146111"
河东区常州道东惠家园,"117.261248,39.155122"
北辰区双环邨佳荣里,"117.125259,39.194534"
河北区建昌道原冰里,"117.238150,39.171470"
和平区南营门街树德里,"117.187286,39.114325"
南开区万兴街红磡公寓,"117.170841,39.119075"
西青区杨柳青碧泉花园,"117.024051,39.134647"
河西区东海街松江里,"117.258223,39.058559"
河北区宁园润园里,"117.225936,39.162674"
红桥区西于庄福居公寓北区,"117.148351,39.175293"
河东区春华街汇和家园,"117.207516,39.140569"
宝坻区火车站宝坻·万科城市之光,"117.339102,39.704792"
河西区挂甲寺前程里(河西区),"117.220393,39.094457"
宝坻区宝坻其他东宝坻金辉城中央云著,"117.310548,39.694661"
和平区劝业场广德里,"117.200108,39.122229"
滨海新区新村街惠安里,"117.648772,39.021359"
西青区中北镇金隅满堂,"117.092704,39.119103"
武清区南湖花样年锦上花,"117.114942,39.341718"
东丽区万新街融创城融章园,"117.311756,39.111842"
西青区精武镇卓越云门,"117.126340,39.041462"
河北区建昌道富瀛洲花园,"117.226612,39.181225"
河东区中山门街中山门北里,"117.262848,39.109189"
南开区鼓楼街玉鼎大厦,"117.190945,39.141871"
河西区桃园街元兴新里,"117.208339,39.101754"
河西区天塔街宾水东里,"117.191443,39.083076"
和平区南营门街大生里,"117.187229,39.116008"
河东区二号桥街龙峰嘉园,"117.293703,39.103089"
河西区天塔街李七庄北里,"117.187647,39.072533"
南开区王顶堤美丽心殿,"117.145976,39.108491"
河西区桃园街元兴新里,"117.208339,39.101754"
津南区辛庄金地艺境,"117.343537,39.021142"
滨海新区中新生态城朗诗中福翡翠澜湾朗泓园,"117.787344,39.101646"
南开区兴南街怀庆里,"117.178104,39.127356"
河西区柳林街恒山里,"117.265511,39.068992"
津南区双港中铁十八局集团东区,"117.298998,39.061921"
北辰区天穆镇辽河园,"117.191685,39.200215"
河西区友谊路文玥北里,"117.215325,39.083285"
南开区华苑安华里,"117.134486,39.086589"
河东区常州道常州里,"117.242948,39.145734"
南开区华苑居华里,"117.143759,39.080638"
红桥区西营门和苑康和园,"117.110672,39.158282"
河西区东海街三水南里,"117.263153,39.056982"
武清区杨村雅静园,"117.055752,39.365588"
西青区中北镇华亭国际,"117.073449,39.120447"
宝坻区火车站绿色家园,"117.328646,39.713066"
武清区下朱庄臻园,"117.061670,39.351469"
南开区兴南街昆裕里,"117.175571,39.128651"
河北区光复道琴海公寓,"117.200586,39.142763"
津南区咸水沽富力又一城合安园,"117.394598,39.002432"
河西区下瓦房福盛花园,"117.227417,39.101471"
河西区挂甲寺晓星园,"117.221729,39.098031"
西青区津门湖富力津门湖西子花园,"117.202918,39.045750"
河西区大营门南京路(河西区),"117.204550,39.117558"
西青区中北镇福悦里,"117.103106,39.130037"
西青区双港天房领世郡,"117.272514,39.027074"
滨海新区海滨街安泰小区,"117.524993,38.682076"
津南区双港柳景家园,"117.303996,39.061084"
滨海新区海滨街华幸小区,"117.387765,38.664891"
南开区体育中心街金禧园,"117.175928,39.069916"
津南区双林泓林园,"117.269635,39.049461"
武清区东蒲洼街经纬城市绿洲武清,"116.992755,39.400058"
滨海新区新村街福安里(塘沽区),"117.648016,39.022395"
武清区中信广场金汇湾雅香园,"117.074216,39.389862"
和平区南营门街建津里,"117.182863,39.111688"
滨海新区塘沽街朝阳新村,"117.695162,39.007974"
红桥区邵公庄千禧园西区,"117.136913,39.155881"
东丽区万新街季景家园,"117.309922,39.141657"
滨海新区新河街南益名士华庭三期(丁香苑),"117.631557,39.051906"
和平区南市和平园,"117.187150,39.129466"
南开区王顶堤凤园北里,"117.147765,39.087641"
南开区体育中心街招商钻石山,"117.182218,39.074542"
河西区挂甲寺海景文苑,"117.241358,39.088138"
西青区中北镇溪秀苑翠溪园,"117.093096,39.124830"
河东区中山门街丰乐里,"117.272414,39.100447"
西青区张家窝津尚花园,"117.038507,39.063226"
东丽区张贵庄跃丽家园,"117.312646,39.092127"
河北区光复道旺海公府,"117.198839,39.145546"
滨海新区开发区万科双子座,"117.726976,39.035019"
南开区华苑天华里社区,"117.137435,39.078339"
滨海新区塘沽街东海云天,"117.707889,39.013411"
津南区双港林景家园,"117.293123,39.070248"
河西区友谊路文玥北里,"117.215325,39.083285"
和平区南营门街气象西里,"117.185586,39.110415"
和平区体育馆街诚基经贸中心,"117.214713,39.116884"
河北区新开河首创大河宸章,"117.180320,39.162090"
南开区华苑地华里,"117.129782,39.083353"
北辰区天穆镇欢颜里(北辰区),"117.140093,39.210321"
和平区新兴街新兴里,"117.187420,39.104951"
津南区咸水沽华远景瑞海蓝城,"117.401526,38.981340"
南开区兴南街悦府家园,"117.179667,39.134997"
西青区津门湖纪明家园,"117.195160,39.066444"
河西区天塔街宾水南里,"117.192296,39.080427"
西青区张家窝保利拾光年,"117.065621,39.069122"
河北区铁东路北宁湾-致远家园,"117.212399,39.184170"
和平区劝业场天成和平里,"117.184600,39.122063"
河西区马场街三合里,"117.197977,39.098375"
河东区上杭路芳馨园,"117.264649,39.125574"
武清区东蒲洼街北新玉龙湾,"116.978922,39.431088"
南开区长虹街盛达园,"117.157456,39.139301"
东丽区万新街畅悦华庭,"117.291251,39.123726"
河东区大王庄卓越浅水湾,"117.223953,39.124604"
滨海新区古林街海川园,"117.508938,38.851154"
河西区越秀路红波里,"117.213968,39.096899"
河西区柳林街华山里,"117.264631,39.064359"
河西区柳林街天山里,"117.268039,39.067950"
宝坻区潮阳大道原筑南区,"117.310558,39.684869"
武清区静湖碧溪春园,"117.093308,39.337589"
河西区柳林街东江南里,"117.271834,39.065929"
南开区万兴街湖心巷,"117.150638,39.138551"
和平区新兴街碧云里,"117.194418,39.102269"
南开区王顶堤金厦里,"117.144224,39.096799"
南开区学府街天津大学新园村,"117.158903,39.108480"
南开区水上公园街复康路十一号,"117.167652,39.097166"
河北区光复道瑞海名苑,"117.196776,39.141330"
东丽区东丽湖松江东湖小镇,"117.493736,39.181987"
河西区挂甲寺北洋新里,"117.239174,39.093167"
河西区挂甲寺湘江道,"117.236131,39.098009"
红桥区双环邨浩达公寓,"117.137772,39.198605"
南开区王顶堤林苑西里,"117.146287,39.088816"
河西区东海街华江里,"117.261277,39.055345"
东丽区新立街万科民和巷,"117.328516,39.092114"
河西区友谊路文玥里,"117.215923,39.082442"
河北区宁园西派国印,"117.217339,39.157346"
东丽区万新街畅悦华庭,"117.291251,39.123726"
南开区向阳路龙富园,"117.137559,39.143793"
东丽区空港经济区金地悦城大境,"117.414962,39.142958"
武清区杨村汇锦新园,"117.071572,39.367591"
滨海新区新港街远洋心里,"117.713707,39.010767"
南开区向阳路昔阳南里,"117.126624,39.132331"
河西区柳林街泰山里,"117.267809,39.064510"
南开区嘉陵道街罗江东里,"117.144607,39.124836"
西青区中北镇金隅满堂,"117.092704,39.119103"
和平区新兴街迎春里(和平区),"117.189085,39.107947"
西青区张家窝宝庆里,"117.041485,39.061633"
津南区咸水沽富力又一城合雅园,"117.397181,38.998925"
东丽区万新街万新家园,"117.280780,39.125791"
河西区挂甲寺云广新里,"117.238499,39.091276"
河东区大王庄祥云名轩,"117.221539,39.125168"
武清区杨村师大公寓,"117.072764,39.373171"
河西区马场街卫星里,"117.188032,39.096584"
河北区月牙河靖江东里,"117.248899,39.164543"
北辰区宜兴埠荔红花园,"117.190003,39.212023"
北辰区双环邨龙泉里（北辰区）,"117.134340,39.203576"
河西区梅江俊城橡树原,"117.232196,39.038425"
北辰区宜兴埠普祥里,"117.200917,39.203056"
滨海新区大沽街碧桂园天汐苑,"117.660835,38.993290"
河西区挂甲寺景兴西里,"117.219492,39.100333"
河西区友谊路海建里南区,"117.200263,39.079496"
北辰区双环邨佳庆里,"117.133660,39.191548"
红桥区双环邨碧春园,"117.133024,39.200955"
西青区精武镇兴旺里(西青区),"117.107341,39.047829"
河西区越秀路珠海里,"117.211484,39.098804"
红桥区咸阳北路泉富家园,"117.153264,39.176808"
河东区大王庄卓越浅水湾,"117.223953,39.124604"
河东区万新村远翠西里,"117.279518,39.133452"
滨海新区塘沽街紫云华庭,"117.697051,39.009715"
河西区东海街平江里,"117.253177,39.061650"
河西区天塔街富顺里,"117.190667,39.068329"
南开区万兴街紫云里,"117.169756,39.121689"
北辰区双街城际美景家园,"117.116005,39.276824"
滨海新区古林街海韵园,"117.504868,38.859335"
河西区梅江水岸江南天湾园,"117.223258,39.035206"
南开区嘉陵道街南江东里,"117.143145,39.126410"
武清区静湖紫韵枫尚,"117.095252,39.338979"
河北区新开河首创大河宸章,"117.180320,39.162090"
东丽区万新街嘉春园,"117.299048,39.106607"
西青区津门湖海逸长洲瀚波园,"117.209986,39.056470"
河北区王串场焕玉里,"117.232058,39.151266"
南开区体育中心街招商钻石山,"117.182218,39.074542"
宝坻区海滨和远领居,"117.341081,39.733082"
河西区挂甲寺美宁公寓,"117.238624,39.095423"
河西区挂甲寺新跃里,"117.221121,39.093504"
西青区张家窝社会山南苑,"117.047405,39.046629"
滨海新区大港街兴华里(大港区),"117.445087,38.836802"
东丽区东丽湖恒大翡翠华庭,"117.472956,39.201147"
红桥区三条石尚都家园,"117.182601,39.153931"
北辰区小淀镇碧桂园中骏·天寰,"117.182708,39.236348"
红桥区咸阳北路彰武楼,"117.144482,39.184182"
南开区华苑竹华里,"117.147863,39.073311"
红桥区西沽街河怡花园,"117.134898,39.166694"
北辰区双街双街新城,"117.103824,39.261530"
河西区桃园街修业里,"117.206661,39.106973"
武清区武清其它畔水庭苑,"117.052638,39.436752"
河西区挂甲寺海景雅苑,"117.240854,39.091614"
东丽区空港经济区绿城·桂语听蘭,"117.428077,39.151066"
东丽区华明镇顶秀欣园,"117.413030,39.175822"
南开区学府街美湖里,"117.156419,39.113523"
南开区王顶堤堤翠家园,"117.137254,39.096178"
西青区李七庄高雅嘉园,"117.189452,39.045450"
河西区桃园街元兴新里,"117.208339,39.101754"
西青区张家窝民盛里,"117.029172,39.069868"
武清区下朱庄君利新家园,"117.082840,39.312567"
西青区张家窝景瑞誉璟天地,"117.083221,39.095593"
武清区杨村时代公寓(武清),"117.062863,39.383703"
武清区杨村福苑小区,"117.052400,39.368071"
河东区向阳楼晨光楼(河东区),"117.248022,39.135524"
西青区精武镇智达里,"117.115073,39.056567"
河北区鸿顺里街辰润里,"117.200738,39.163689"
北辰区瑞景居住区绿地新里天澜,"117.133104,39.212553"
北辰区果园新村东升里小区,"117.140403,39.221734"
河东区大直沽津塘公寓,"117.245371,39.114727"
东丽区东丽湖赏湖苑,"117.490170,39.182539"
红桥区咸阳北路本溪楼,"117.140432,39.182131"
河西区越秀路红波里,"117.213968,39.096899"
南开区兴南街怀庆里,"117.178104,39.127356"
河西区天塔街紫金北里,"117.186379,39.088253"
河北区鸿顺里街日远里,"117.197543,39.162436"
滨海新区海滨街祥和小区,"117.489860,38.710679"
东丽区军粮城军秀园,"117.449441,39.052649"
南开区华苑地华里,"117.129782,39.083353"
西青区中北镇盈润园,"117.091798,39.126226"
和平区劝业场信德楼,"117.191839,39.122770"
河西区友谊路友谊东里,"117.214281,39.080639"
河西区大营门宝德里,"117.218754,39.109617"
东丽区新立街中建新丽壹号,"117.331854,39.082942"
西青区精武镇智达里,"117.115073,39.056567"
南开区广开街怀仁里,"117.167179,39.136170"
津南区咸水沽南华里(津南区),"117.387517,38.983125"
东丽区万新街万新家园,"117.280780,39.125791"
河东区春华街瑞金里,"117.232017,39.147425"
和平区南营门街银行里,"117.195711,39.118838"
东丽区华明镇金泰丽湾,"117.374100,39.166006"
津南区双港天房意境,"117.296334,39.011844"
河西区梅江玉水园,"117.213208,39.071446"
红桥区西营门和苑家园雅和园,"117.116779,39.158818"
南开区向阳路冶金里,"117.128930,39.144995"
津南区咸水沽新祥园,"117.393577,38.981629"
红桥区铃铛阁康华大厦,"117.162845,39.145960"
武清区杨村汇锦新园,"117.071572,39.367591"
河西区挂甲寺美好里,"117.235368,39.090290"
南开区嘉陵道街桂荷园,"117.144268,39.116836"
北辰区宜兴埠远洋未来城秋颂苑,"117.219974,39.200940"
河西区天塔街博兰苑,"117.197048,39.072641"
河西区桃园街津滨雅都公寓,"117.209907,39.105743"
南开区华苑地华里,"117.129782,39.083353"
滨海新区中新生态城枫珑园,"117.779968,39.106558"
静海区团泊东富力新城,"117.137353,38.886560"
河北区建昌道中国铁建国际城诗景凤苑,"117.229160,39.168793"
东丽区东丽湖米兰东湖湾,"117.487678,39.193072"
武清区泗村恒大山水城,"116.954038,39.485557"
武清区下朱庄越秀园东区,"117.090244,39.313301"
蓟州区于桥水库山水颐城北园,"117.447602,40.054505"
武清区体育中心枫丹天城,"117.021700,39.389374"
南开区水上公园街阳光100天塔喜马拉雅,"117.178837,39.092041"
武清区静湖静湖花园西区,"117.086472,39.339612"
西青区杨柳青美庭苑,"117.021095,39.118570"
河北区鸿顺里街晨悦大厦,"117.199755,39.162393"
东丽区华明镇昊园,"117.373232,39.173290"
河北区宁园西派国印,"117.217339,39.157346"
武清区下朱庄君利花园,"117.084107,39.316213"
武清区静湖碧溪春园,"117.093308,39.337589"
南开区兴南街耀远里,"117.175662,39.132506"
北辰区小淀镇融创臻园,"117.178109,39.238989"
北辰区宜兴埠未来城冬博苑,"117.221582,39.205791"
北辰区宜兴埠远洋五矿旷世新城,"117.222316,39.202625"
河东区万新村曲溪西里,"117.272268,39.135786"
河西区越秀路黄埔里,"117.207307,39.101381"
武清区下朱庄臻园,"117.061670,39.351469"
河北区鸿顺里街中山大厦,"117.203945,39.163257"
河东区春华街双赢大厦,"117.216002,39.140453"
河西区友谊路柳江南里,"117.208391,39.075574"
河西区柳林街双山里,"117.267290,39.063042"
南开区兴南街德邻里,"117.176752,39.126828"
南开区王顶堤保盈里,"117.134831,39.105381"
河西区陈塘庄四季馨园,"117.259326,39.065396"
南开区鼓楼街如意大厦,"117.172923,39.138304"
河东区常州道盛世嘉园,"117.256584,39.155955"
北辰区北仓镇紫罗园,"117.127985,39.231018"
河西区挂甲寺湘江道,"117.236131,39.098009"
东丽区万新街季景家园,"117.309922,39.141657"
河东区唐家口欣荣嘉园,"117.227582,39.136071"
滨海新区滨海其它海晶院境,"117.714601,39.004203"
滨海新区新村街民安里,"117.664800,39.021235"
西青区精武镇华侨城碧桂园天境,"117.122448,39.045269"
蓟州区盘山风景区美域新城,"117.368082,40.033293"
南开区王顶堤林苑东里,"117.145827,39.088791"
河西区柳林街云山里,"117.267850,39.061280"
滨海新区大港街前光里,"117.447771,38.830284"
河西区尖山瑞江花园菊苑,"117.227445,39.065160"
河西区桃园街元兴新里,"117.208339,39.101754"
和平区体育馆街全胜里,"117.199992,39.106264"
河东区常州道盛世嘉园,"117.256584,39.155955"
河东区大直沽福泽温泉公寓,"117.236923,39.111042"
东丽区华明镇华润橡树湾香润轩,"117.392893,39.179558"
河北区建昌道贵桥里,"117.237142,39.172922"
南开区嘉陵道街雅安西里,"117.136025,39.121883"
河东区唐家口金堂南里,"117.243835,39.123410"
东丽区华明镇华富家园北区,"117.427984,39.174008"
北辰区双街柴楼隆园,"117.102175,39.267055"
河西区柳林街云山里,"117.267850,39.061280"
河北区铁东路胜景花园,"117.192411,39.180220"
津南区双桥河信和园,"117.431947,38.980288"
南开区王顶堤迎风里,"117.147259,39.084769"
南开区长虹街雅园里,"117.143083,39.145444"
东丽区华明镇金泰丽湾,"117.374100,39.166006"
津南区辛庄仁嘉花园,"117.324361,39.033149"
河西区挂甲寺美好里,"117.235368,39.090290"
红桥区丁字沽街风采里,"117.165412,39.175758"
滨海新区新河街南益名士华庭四期(海棠苑),"117.632593,39.048622"
红桥区西于庄祥居公寓,"117.157627,39.171522"
河北区江都路黄山里,"117.242180,39.152697"
东丽区万新街融创城融春园,"117.311416,39.108824"
河西区友谊路友谊花园,"117.210280,39.079395"
宝坻区翡翠湾翡翠湾花园,"117.350119,39.737929"
东丽区东丽湖天津华侨城,"117.493736,39.181987"
西青区李七庄朗庭园,"117.185793,39.060470"
河西区下瓦房西楼北里,"117.216085,39.096806"
河西区天塔街安达公寓,"117.192020,39.081270"
武清区黄庄世茂国风雅颂,"117.039668,39.355393"
滨海新区大沽街和谐园,"117.670274,38.983056"
河西区友谊路育学里,"117.205397,39.079030"
河西区东海街汉江里,"117.261093,39.059845"
河西区下瓦房龙海公寓,"117.231451,39.103041"
河西区友谊路纯雅公寓,"117.216755,39.075648"
滨海新区海滨街华福小区,"117.371354,38.676216"
滨海新区新北街广厦富城,"117.645750,39.062374"
河北区新开河盛雅佳苑,"117.175033,39.186417"
河西区下瓦房富裕广场,"117.229137,39.102046"
南开区万兴街临江里,"117.154308,39.126562"
武清区中信广场金汇湾儒香园,"117.074216,39.389862"
津南区小站镇盛坤新苑,"117.426244,38.908276"
北辰区瑞景居住区奥林匹克花园石榴苑,"117.115139,39.201094"
津南区辛庄鑫旺里,"117.347303,39.024842"
河西区柳林街昌源公寓,"117.284413,39.062325"
东丽区东丽湖朗钜维尔蓝堤花园,"117.493512,39.193663"
武清区新湾龙湖春江郦城,"117.067388,39.368809"
河西区东海街桂江里(河西区),"117.261999,39.053347"
和平区南营门街银行里,"117.195711,39.118838"
武清区南湖恒大翡翠湾,"117.119803,39.321867"
东丽区万新街和泓四季恋城,"117.320705,39.111870"
河东区唐家口东亚风尚国际,"117.222461,39.134174"
北辰区天穆镇万隆桃香园,"117.159904,39.195385"
河西区东海街桂江里(河西区),"117.261999,39.053347"
河西区柳林街昌源公寓,"117.284413,39.062325"
河北区建昌道红波西里,"117.231810,39.170828"
河东区常州道益寿东里,"117.249194,39.145350"
河西区越秀路红波里,"117.213968,39.096899"
东丽区东丽湖天安象屿智慧城-都城,"117.436019,39.166024"
河西区陈塘庄岩峰南里,"117.247336,39.064510"
津南区咸水沽恒大悦府,"117.372544,38.977719"
南开区华苑居华里,"117.143759,39.080638"
河西区东海街博林园,"117.259092,39.046200"
河北区月牙河靖江东里,"117.248899,39.164543"
河西区马场街吴家窑大街,"117.188544,39.101007"
河西区桃园街元兴新里,"117.208339,39.101754"
红桥区双环邨碧春园,"117.133024,39.200955"
滨海新区胡家园滨愉花园（远洋城6期）,"117.605805,39.035739"
滨海新区中新生态城世茂鲲玺园,"117.740787,39.110302"
东丽区东丽湖朗钜维尔蓝堤花园,"117.493512,39.193663"
南开区万兴街新都大厦,"117.179009,39.119260"
东丽区万新街程林东里,"117.301927,39.138077"
北辰区天穆镇辰发花园,"117.162573,39.192205"
蓟州区盘山风景区中昌新村东区,"117.277630,40.095201"
红桥区铃铛阁花莲里,"117.150185,39.144461"
滨海新区古林街新城港东府,"117.495309,38.837809"
河北区王串场盛宇里,"117.230535,39.155287"
河西区下瓦房积余里,"117.223481,39.108285"
东丽区万新街嘉春园,"117.299048,39.106607"
红桥区双环邨浩达公寓,"117.137772,39.198605"
河西区挂甲寺海景芯苑,"117.221729,39.098031"
河西区东海街云江新苑,"117.255222,39.051919"
南开区嘉陵道街莲安里,"117.125565,39.125026"
河西区越秀路健美里,"117.208488,39.096532"
南开区向阳路云阳里,"117.133298,39.141705"
滨海新区中新生态城宜禾美林,"117.757073,39.118585"
河北区鸿顺里街宇阳公寓,"117.202592,39.160675"
南开区体育中心街阳光壹佰东园,"117.175928,39.069916"
滨海新区杭州道遵义里,"117.656337,39.032173"
河西区柳林街元山里,"117.265716,39.059895"
武清区新湾新湾花园北园,"117.066732,39.359562"
河北区建昌道中国铁建国际城诗景凤苑,"117.229160,39.168793"
西青区精武镇盛兴佳园,"117.118516,39.042088"
河西区东海街云江新苑,"117.255222,39.051919"
滨海新区大港街双安里,"117.459768,38.840547"
津南区咸水沽恒大悦府,"117.372544,38.977719"
滨海新区中新生态城和馨园,"117.745907,39.113212"
蓟州区于桥水库州河湾南园,"117.425645,40.009031"
河西区友谊路光华里,"117.219848,39.085158"
津南区双港金地格林世界棕榈苑D区,"117.315625,39.049038"
武清区东蒲洼街泽信公馆,"117.015352,39.406197"
河东区大王庄北长路30,"117.226050,39.128997"
南开区向阳路昔阳里,"117.126579,39.133773"
东丽区张贵庄津门里,"117.310712,39.085432"
东丽区华明镇大唐印象唐雅苑,"117.401844,39.176980"
南开区王顶堤金冠里,"117.139913,39.098032"
