待售房屋,室,厅,卫,面积,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,均价
复地湖滨广场 房龄新 刚需两居 高楼层视野无遮挡 交通便捷,2室,1厅,1卫,83,南,高层(共11层),2016年建造,复地湖滨广场,东丽,空港经济区,中环东路 近东四道,南 满五年 ,156,18796
雍鑫红星华府 满二   大两房 楼龄新 正南朝向 带电梯,2室,2厅,0卫,88.27,南,低层(共11层),2016年建造,雍鑫红星华府,武清,杨村街,新安路,南 满二年 ,135,15294
旭辉三期精装两室 中间层 满五年 有车位 采光好 急售,2室,2厅,1卫,88.58,南,中层(共27层),2017年建造,旭辉御府,西青,中北,卉康道 近海光路,南 满五年 绿化率高 ,125,14112
宝翠花都探景园 临地铁 交通便捷 刚需两居 产权清晰,2室,1厅,1卫,87.15,南北,中层(共6层),2006年建造,宝翠花都探景园,北辰,瑞景街,龙泉道,南北 满五年 近地铁 ,136,15606
合适只售128.00万元 报价非常合适 着急出售,2室,2厅,1卫,86.38,南北,高层(共11层),2021年建造,新城悦隽央著,武清,杨村街,新安路,南北 满二年 车位充足 ,128,14819
杨村街 带电梯 满二 房龄新 南北通透 楼层好,2室,2厅,1卫,85,南北,中层(共18层),2016年建造,通泰香滨城,武清,杨村街,富民道 近站北路,南北 满二年 户型方正 ,148,17412
凤栖梧桐翠谷园 临地铁 商品住宅 正南朝向 带电梯 大两房,2室,1厅,1卫,90,南,高层(共30层),2020年建造,凤栖梧桐翠谷园,滨海新区,中新生态城,华三路 近新一街,南 满二年 次新房 ,146,16223
房主急售！保利品质  河雅颂北区 社区入住率高 周边配套成熟,2室,2厅,1卫,83.87,南,低层(共32层),2008年建造,保利上河雅颂(北区),武清,杨村街,振华西道 近泉保路,南 VIP房东直卖 满二年 ,120,14308
尚园 购物方便 满二   带电梯 高楼层视野无遮挡 精装好房,2室,2厅,1卫,85,南,高层(共16层),2018年建造,尚园,武清,杨村街,富民道,南 满二年 ,117,13765
天穆 医疗配套成熟 刚需小三居 次新小区 电梯房 商品住宅,3室,1厅,1卫,97.74,南北,低层(共28层),2021年建造,雍祥府,北辰,天穆,龙门东道 近高峰路,南北 热门小区 房东急售 随时可看 ,139,14222
贻成学府壹号 南开对面 新房未住 视野无遮挡 商超便利,2室,2厅,1卫,83,南北,高层(共28层),2020年建造,贻成学府壹号,滨海新区,中新生态城,中天大道,南北 满二年 车位充足 多人关注 ,120,14458
枫丹天城 商圈成熟 带电梯 满五   小区新 朝南,2室,2厅,0卫,81.77,南,高层(共32层),2016年建造,枫丹天城,武清,杨村街,雍阳西道 近翠源路,南 满五年 ,120,14676
大两居 满五   楼龄新 中间楼层采光好 南向采光好 有电梯,2室,2厅,0卫,86.66,南,中层(共21层),2017年建造,远洋香奈,武清,杨村街,翠通路 近强国道,南 满五年 ,120,13848
枫丹天城 中间楼层 正南朝向 商业配套齐全 大两居 有电梯,2室,1厅,1卫,81.23,南,中层(共32层),2016年建造,枫丹天城,武清,杨村街,雍阳西道 近翠源路,南 满五年 ,118,14527
十一中 经纬二期 三居双卫 中高楼层 采光好 满两年,3室,2厅,2卫,120.94,南,高层(共27层),2023年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南 满二年 车位充足 人气热搜 ,125,10336
南向采光好 出行方便 满五   临地铁 有电梯 近医院,2室,1厅,1卫,76,南,低层(共24层),2013年建造,嘉畅园,河北,建昌道街,缤纷路604号,南 配套成熟 优势户型 随时可看 ,115,15132
枫丹天城 近光明   精装 拎包入住 好楼层采光好 总价低,2室,2厅,1卫,75.37,南,中层(共32层),2016年建造,枫丹天城,武清,杨村街,雍阳西道 近翠源路,南 满五年 ,119.5,15856
杨村街 车位充足 正南朝向 小三居 正规商品房 次新小区,3室,2厅,1卫,99.96,南,高层(共24层),2022年建造,香雍玖和,武清,杨村街,光明道 近新兴路,南 满二年 绿化率高 ,127,12706
新港街祥和家园双阳金角户型主卧带阳台看房有钥匙紧邻热卖 地铁,2室,2厅,1卫,100,东南,高层(共34层),2010年建造,世纪祥和家园(滨海),塘沽,新港街,春阳路,东南 满五年 人气热搜 ,127,12700
万科大2室 院景洋房3楼 自持物业 一梯两户,2室,2厅,1卫,97.65,南北,中层(共6层),2009年建造,万科假日风景,西青,中北,中北大道 近星光路,南北 人气热搜 ,145,14849
新城悦隽央著精装修130万通透两室次新房随时看房,2室,2厅,1卫,89.53,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,南北 满二年 车位充足 ,130,14521
12中 17小 翠景园 南北通透 购物方便 中间楼层采光好,2室,2厅,1卫,90,南北,共5层,2010年建造,翠景园(武清),武清,杨村街,泉达路,南北 满二年 ,140,15556
   远洋香奈全阳精装两居 位置好近城际 随时看房,2室,2厅,1卫,85.22,南北,低层(共26层),2015年建造,远洋香奈,武清,杨村街,翠通路 近强国道,南北 满二年 ,140,16429
满五   南北通透 2室2厅 精装修 领包入住,2室,2厅,1卫,89.89,南北,中层(共28层),2010年建造,富力桃园天富园,津南,双港,微山南路,南北 满五年 近地铁 ,120,13350
大地六期两室  业主诚意置换  可随时看房,2室,2厅,1卫,86,南北,中层(共25层),2014年建造,枫桦园,西青,中北,中北大道94号,南北 ,122.5,14245
盛世郦园 刚需两居 购物方便 装修好 满五 高楼层视野无遮挡,2室,2厅,1卫,94.28,南,高层(共22层),2013年建造,盛世郦园,武清,杨村街,振华西道 近泉达路,南 满五年 采光较好 人气热搜 ,136,14426
金都花园(武清) 朝南 楼龄新 满五   密度低 大两房,2室,2厅,1卫,86.29,南,低层(共6层),2014年建造,金都花园(武清),武清,杨村街,光明道 近翠源路,南 满五年 ,120,13907
离梦想很近 实现舒适三房 体验奢华生活 新婚,3室,1厅,1卫,91.05,南北,高层(共28层),2015年建造,旭辉御府,西青,中北,卉康道 近海光路,南北 绿化率高 ,126,13839
雍鑫红星华府 楼层好 南北通透 精装可拎包入住 有电梯,2室,2厅,1卫,87.32,南北,中层(共17层),2016年建造,雍鑫红星华府,武清,杨村街,新安路,南北 满五年 ,135,15461
杨村街 商品住宅 小区新 南向采光好 高楼层视野好 满二,3室,2厅,1卫,107.36,南,高层(共27层),2015年建造,盛世睿园,武清,杨村街,新城南东路东侧,南 热门小区 南北通透 满五 ,128,11923
雍鑫红星华府 大两房 楼龄新 高楼层采光充足 商品住宅,2室,2厅,0卫,87.32,南北,高层(共17层),2016年建造,雍鑫红星华府,武清,杨村街,新安路,南北 满二年 ,120,13743
雍鑫红星华府 房龄新 商品房 大两居 南向采光好 满二,2室,2厅,0卫,88.27,南,低层(共11层),2016年建造,雍鑫红星华府,武清,杨村街,新安路,南 满二年 ,135,15294
保利 河雅颂(北区) 满五   刚需两居 电梯房 朝南,2室,2厅,1卫,83.87,南,低层(共31层),2010年建造,保利上河雅颂(北区),武清,杨村街,振华西道 近泉保路,南 VIP房东直卖 满五年 ,120,14308
新港街祥和家园双阳金角户型主卧带阳台看房有钥匙紧邻热卖 地铁,2室,2厅,1卫,100,东南,高层(共34层),2010年建造,世纪祥和家园(滨海),塘沽,新港街,春阳路,东南 热门小区 南北通透 配套成熟 ,127,12700
急售 雍华园 婚房未入住 精装三室 好楼层 随时看房,3室,2厅,1卫,110,南北,低层(共16层),2020年建造,雍华园,武清,黄庄街,振华西路,南北 次新房 ,148,13455
盛仓新苑炎黄园 临地铁 商圈成熟 满二 商品住宅 刚需两居,2室,1厅,1卫,106.45,南北,中层(共6层),2003年建造,盛仓新苑炎黄园,北辰,集贤里,高峰路,南北 满二年 绿化率高 ,115,10804
五一阳光 八中 满五   中间楼层采光好 小区绿化高,2室,2厅,1卫,86,南北,中层(共16层),2010年建造,五一阳光锦园,武清,杨村街,团结路 近强国道,南北 满五年 绿化率高 ,90,10466
融科贻锦台 满五 商品住宅 近地铁 交通便利 商圈成熟,2室,2厅,1卫,102,南,低层(共27层),2011年建造,融科贻锦台,塘沽,工农村街,厦门路 近云山道,南 满五年 ,150,14706
河东区春华街华光里2室1厅 私产房采光好,2室,1厅,1卫,79.19,东西,高层(共7层),1998年建造,华光里,河东,春华街,真理道 近瑞金路,东西 满五年 近地铁 ,118,14901
经纬二期学知华庭 简装2居 中间楼层 十一中十三小,2室,2厅,1卫,84,南,低层(共31层),2022年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南 车位充足 ,88,10477
世纪祥和家园(滨海) 精装修 有电梯 大两房,2室,1厅,1卫,104,南,高层(共34层),2013年建造,世纪祥和家园(滨海),塘沽,新港街,春阳路,南 满五年 ,128,12308
十一中 学经纬二期  房88万 还能商量两室装修好出门菜市场,2室,2厅,1卫,85,南北,低层(共30层),2021年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南北 车位充足 多人关注 ,88,10353
杭州道街 交通便捷 医疗配套成熟 近地铁 中间好楼层,2室,2厅,1卫,103.7,南北,中层(共6层),2003年建造,贻成奥林花园,塘沽,杭州道街,福州道942号,南北 满五年 ,140,13501
新新家园 9层到顶的电梯洋房 一梯两户 公摊小 户型方正,2室,2厅,1卫,108,南北,高层(共9层),2008年建造,广厦富城,塘沽,工农村街,云山道 近谐海路,南北 满五年 ,120,11112
雅仕兰庭 全明两室 中间楼层 采光好 价格好谈 方便看房,2室,2厅,1卫,88.28,南北,中层(共22层),2015年建造,雅仕兰庭,河东,富民路,月牙河南路35号,南北 房东直卖 满五年 近地铁 ,173,19597
急售~11中 蒲瑞馨园(北区) 全阳两室 13小 紧邻杨一,2室,2厅,1卫,85,南,高层(共17层),2011年建造,蒲瑞馨园(北区),武清,杨村街,雍顺道,南 满二年 ,108,12706
必看好房~新城梧桐公馆~没住过~精装三室双卫~带车位,3室,2厅,2卫,111.5,南北,高层(共15层),2018年建造,新城梧桐公馆,武清,下朱庄街,嘉静道,南北 满二年 ,113,10135
商品住宅 豪华设计 大两房 购物方便 双卫生间 南北通透,2室,2厅,2卫,106,南北,中层(共32层),2008年建造,紫云园,塘沽,新港街,春阳路681号,南北 满五年 近地铁 车位充足 ,120,11321
经纬城市绿洲学知华庭 南向采光好 商品住宅 次新房 满二,1室,1厅,1卫,81.42,南,低层(共32层),2022年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南 满二年 车位充足 ,84,10317
国耀上河城 产权清晰 近地铁 带电梯 满五 交通便捷,2室,2厅,1卫,90,南,高层(共34层),2013年建造,国耀上河城,北辰,双街镇,双新大道 近顺境路,南 满五年 采光较好 人气热搜 ,98,10889
河西三片 东江南里 私产满五   精装修两室南北通透 不临街,2室,1厅,1卫,60.29,南北,高层(共6层),1995年建造,东江南里,河西,柳林,茂名道,南北 满五年 近地铁 ,115,19075
境界梅江 满五  小高层两室 诚意出售,2室,2厅,1卫,83.45,南北,低层(共18层),2015年建造,境界梅江逸波园,西青,新梅江南,梅江西路89号,南北 ,163,19533
朝南 低密度社区 大两房 购物方便 满五 有电梯,2室,2厅,1卫,99,南,低层(共22层),2013年建造,盛世家园,武清,杨村街,振华西道429号,南 满五年 ,159,16061
远景庄园  中间楼层  南北通透  有钥匙  看房随时,2室,2厅,1卫,104.39,南北,共4层,2005年建造,远景庄园,塘沽,西大沽街,迎宾大道,南北 房东直卖 满五年 ,115,11017
金隅满堂 楼层好 私产过五年 性价比高,2室,2厅,1卫,91.09,南北,低层(共16层),2014年建造,金隅满堂红杉花苑,西青,中北,万卉路21号,南北 ,176,19322
楼层好 双卫 南北通透 产权清晰 房龄新 电梯房,3室,2厅,2卫,138,南北,中层(共34层),2016年建造,远洋城滨雅花园,塘沽,胡家园街,远洋一支路,南北 满五年 ,124,8986
  经纬二期出门11 中 房主降价89万！！还能商量出门  ,2室,2厅,1卫,85,南北,中层(共30层),2020年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南北 车位充足 ,89,10471
天津站 后广场 大一居 中间楼层 舒适度高,1室,1厅,1卫,71,西北,中层(共29层),2002年建造,万春美钻大厦,河东,春华街,华龙道,西北 房东直卖 满五年 近地铁 ,126,17747
紫云园 购物方便 医疗配套成熟 精装好房 南向采光好 电梯房,2室,1厅,1卫,106,南,低层(共28层),2007年建造,紫云园,塘沽,新港街,春阳路681号,南 满五年 近地铁 车位充足 ,132,12453
地段好 交通方便 价位能谈 小区入住很高 在售房源少 好房,2室,2厅,1卫,106.23,南北,中层(共18层),2010年建造,碧海兰庭,塘沽,杭州道街,津塘公路2282号,南北 满五年 近地铁 ,128,12050
满五   商品房 近地铁 大两居 南北通透 低密度社区,2室,2厅,1卫,90.5,南北,低层(共6层),2009年建造,治国里,塘沽,杭州道街,中心北路1119号,南北 满五年 近地铁 ,107,11824
降价急售 谁买谁合适！！！！,2室,2厅,1卫,84,南北,中层(共30层),2019年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南北 车位充足 ,89,10596
盛世家园 中间层 距大门近出入方便 价可谈 随时过户,2室,2厅,1卫,94,南北,低层(共18层),2014年建造,盛世家园,武清,杨村街,振华西道429号,南北 ,172,18298
15楼  私产满五    好赞好房着急 卖电梯 医疗配套成熟,2室,2厅,1卫,93.06,南,中层(共30层),2019年建造,天辰世纪天和丽园,北辰,天穆,顺义道18号,南 热门小区 价格优惠 房东急售 ,112,12036
甩！降价了！    ！新城悦隽央著看 可谈,2室,1厅,1卫,87,南北,低层(共11层),2018年建造,新城悦隽央著,武清,杨村街,新安路,南北 车位充足 ,111.5,12817
融创半湾半岛 房龄新 正南朝向 电梯房 近地铁 交通便捷,2室,2厅,1卫,82.41,南,低层(共28层),2017年建造,融创半湾半岛,北辰,双街镇,双进道,南 满五年 ,85,10315
察哈尔路小区~经典大2居~格局无浪费~电梯房~价 可议,2室,0厅,0卫,16.19,南北,共2层,1988年建造,察哈尔路小区,和平,滨江道,察哈尔路,南北 满五年 近地铁 ,123,75973
宝翠花都瞰景园 近地铁 交通便利 南向采光好 医疗配套成熟,2室,1厅,1卫,87.25,南,低层(共6层),2008年建造,宝翠花都瞰景园,北辰,瑞景街,环瑞路 近辰顺路,南 满二年 近地铁 ,174,19943
和苑全和园 交通便利 南北通透 高楼层视野无遮挡 大两房,2室,1厅,1卫,90.39,南北,高层(共30层),2011年建造,和苑全和园,红桥,西营门街,营玉路,南北 满五年 ,140,15489
碧水庄园 交通便利 临地铁 满五 精装好房 带电梯,2室,2厅,1卫,108,南,低层(共24层),2009年建造,碧水庄园,塘沽,西大沽街,安阳道 近迎宾大道,南 满五年 ,123,11389
枫丹必看房源 好楼层精装修！周边配套齐全 去哪哪都方便！！！,3室,1厅,1卫,96.37,南,低层(共18层),2016年建造,枫丹天城,武清,杨村街,雍阳西道 近翠源路,南 满五年 ,161,16707
私产二楼两室随时看 河西体院南能转 南北通透采光好,2室,1厅,1卫,64.76,南北,低层(共7层),1990年建造,富诚东里,河西,天塔,富有道124号,南北 近地铁 ,126,19457
柳馨园洋房四楼  通透大两室 急售 给价聊,2室,2厅,0卫,92,南,中层(共6层),2008年建造,柳馨园,西青,杨柳青,柳口路,南 满五年 ,110,11957
万科新里程家园 出行方便 得房率高 临地铁 精装好房,1室,1厅,1卫,63.14,南,低层(共11层),2012年建造,万科新里程家园,东丽,空港经济区,观湖路 近东六道,南 满五年 ,115,18214
正南 2室1厅 大唐筑雅园,2室,1厅,1卫,90.27,南,中层(共11层),2011年建造,大唐筑雅园,东丽,空港经济区,东六道 近中环东路,南 满五年 ,140,15510
90w急售可议价禾和湾2楼两室紧邻二中无个税,2室,2厅,1卫,93,南北,低层(共6层),2000年建造,启运里,西青,杨柳青,柳霞路,南北 满五年 ,95,10216
世茂国风雅颂 三居 中间楼层 价格可议,3室,2厅,1卫,120,南北,低层(共24层),2018年建造,世茂国风雅颂,武清,黄庄街,滨河道,南北 满二年 车位充足 ,123,10250
新小区 电梯房   楼层 满五   标准H户型 急售！,2室,2厅,1卫,107.64,南,中层(共25层),2018年建造,海榕园,大港,古林街,海景二路,南 满二年 ,118,10963
景汇名园 精装好房 满五   房龄新 正南朝向 有电梯,2室,2厅,1卫,84.44,南,高层(共17层),2016年建造,景汇名园,武清,下朱庄街,嘉平道150号,南 价格优惠 房东急售 随时可看 ,75,8883
紫云国际 近医院 高楼层视野好 满五 精装可拎包入住 大两居,2室,2厅,0卫,103.64,南,高层(共28层),2005年建造,紫云国际,塘沽,新港街,新港三号路 近春光路,南 满五年 近地铁 ,125,12061
天辰世纪天和丽园 中间好楼层 带电梯 小区新 近医院,2室,1厅,1卫,81.88,南,中层(共27层),2018年建造,天辰世纪天和丽园,北辰,天穆,顺义道18号,南 房东直卖 满五年 ,92,11236
满二年 南北通透户型 可以贷款,3室,2厅,1卫,126.75,南北,高层(共16层),2017年建造,运泽花园小区(北区),武清,徐官屯街,杨崔路,南北 满二年 ,136,10730
保利拾光年中间位置三居室急售,3室,2厅,2卫,87.18,南北,中层(共18层),2021年建造,保利拾光年和光北苑,西青,海泰高新区,海泰大道 近华科大街,南北 车位充足 ,157,18009
精装修 满五 低容积 刚需小三居 南向采光好 有电梯,3室,2厅,1卫,87.54,南,低层(共8层),2010年建造,赏湖苑,东丽,东丽湖,情景大道,南 满五年 ,93,10624
宏伟力推  梅江 澄澜 急售观 公园两室 随时看   户型好,2室,1厅,1卫,89.76,南北,高层(共29层),2014年建造,富力津门湖澄澜花园,西青,新梅江南,江湾路,南北 有电梯 近地铁 ,170,18940
别看报价 诚意就谈 一切皆有可能 欢迎咨询,2室,1厅,1卫,87.2,南北,高层(共8层),2014年建造,金地艺华年盈翠名苑,津南,双港,津港高速,南北 有电梯 近地铁 绿化率高 ,155,17776
小三室 诚意出售 价格可议,3室,1厅,1卫,95.59,南北,中层(共14层),2019年建造,宝安江南城,西青,杨柳青,青静路66号,南北 满二年 绿化率高 ,165,17262
紧邻一中 高铁十一北新玉龙湾 毛坯三居室 楼间距大 低密度,3室,2厅,2卫,115,南北,低层(共12层),2023年建造,北新玉龙湾,武清,豆张庄镇,开源道 近新兴路,南北 次新房 ,120,10435
旭辉燕南园 中间楼层 满二 房龄新 有电梯 朝南 大两房,2室,2厅,0卫,81.87,南,中层(共28层),2017年建造,旭辉燕南园,西青,精武,京华道21号,南 VIP房东直卖 满二年 绿化率高 ,110,13436
理想中的房子 交通便捷配套齐全理想中的房子,2室,1厅,1卫,107.23,南北,高层(共18层),2008年建造,宝翠花都瞰景园,北辰,瑞景街,环瑞路 近辰顺路,南北 近地铁 ,136,12684
晨晖里新楼 不把山 南北通厅 采光好 配套成熟 随时看房。,2室,2厅,1卫,110,南北,共5层,2012年建造,晨晖里,大港,迎宾街,迎宾街49号,南北 满五年 ,120,10910
