待售房屋,室,厅,卫,面积,面积单位,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,总价单位,均价,均价单位
中建壹方九里宸澜华庭 高楼层采光充足 大两居 商品住宅,2室,2厅,1卫,84,㎡,南北,高层(共11层),2020年建造,中建壹方九里宸澜华庭,武清,杨村街,光明道,"南北,满二年,次新房,",137,万,16310,元/㎡
枫桦园精装两室 中间楼层 地采暖全阳户型 随时看 价格可议,2室,2厅,1卫,86,㎡,南,中层(共25层),2013年建造,枫桦园,西青,中北,中北大道94号,"南,满五年,",125,万,14535,元/㎡
富力尚悦居 装修好 中间好楼层 房龄新 满五 小三房,3室,2厅,1卫,91.21,㎡,南,中层(共32层),2016年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南,满五年,",128,万,14034,元/㎡
国企开发 南北通透 客餐厅相连 大户型 装修交付 宜禾南湾 欢迎联系看房,3室,2厅,1卫,95,㎡,南北,,,宜禾南湾,滨海新区,中新生态城,海文道与永盛路交口,"南北通透,厨卫全明,客餐厅相连,低容积,",137.8,万,14500,元/㎡
次新房 正南朝向 电梯房 小三房 停车方便 满二,3室,2厅,1卫,94,㎡,南,低层(共11层),2020年建造,新城悦隽央著,武清,杨村街,新安路,"南,热门小区,价格优惠,房东急售,",135,万,14362,元/㎡
香雍玖和 次新小区 高绿化 朝南 刚需小三居 满二 超低密度,3室,2厅,1卫,100,㎡,南,高层(共24层),2021年建造,香雍玖和,武清,杨村街,"光明道,近新兴路","南,满二年,绿化率高,多人关注,",125,万,12500,元/㎡
中层金角）拎包即住）本业主熟）直售 少）随时走手续,3室,2厅,1卫,94.98,㎡,南,中层(共22层),2019年建造,旭辉燕南园,西青,精武,京华道21号,"南,满二年,绿化率高,",145,万,15267,元/㎡
南北通透 户型方正 大户型 高性价比 金地万悦城 欢迎联系看房,3室,2厅,2卫,94,㎡,南北,,,金地万悦城,东丽,大毕庄镇,金钟街道大毕庄地铁站C口东行400米,"南北通透,厨卫全明,主卧套房,轨交房,",138,万,14681,元/㎡
盛世郦园 刚需两居 购物方便 装修好 满五 高楼层视野无遮挡,2室,2厅,1卫,94.28,㎡,南,高层(共22层),2013年建造,盛世郦园,武清,杨村街,"振华西道,近泉达路","南,满五年,采光较好,人气热搜,",136,万,14426,元/㎡
急售 新城悦隽央著 赠15万精装 十三小十一中 紧邻杨一城际,2室,2厅,1卫,88,㎡,南北,低层(共7层),2021年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,人气热搜,",132,万,15000,元/㎡
新小区 唐望府 通透三室 总价低 随时看房,3室,2厅,1卫,102.84,㎡,南北,中层(共33层),2019年建造,唐望府,塘沽,新河街,津塘公路,"热门小区,南北通透,房东急售,",126,万,12253,元/㎡
刚需小三居 带电梯 满五   楼龄新 商业配套齐全 朝南,3室,2厅,1卫,89.54,㎡,南,低层(共9层),2015年建造,万科四季花城雅园,西青,张家窝,文苑路,"南,满五年,人气热搜,",130,万,14519,元/㎡
国企开发 轨交房 高绿化率 动静分离 自持物业 来电咨询,2室,2厅,1卫,84,㎡,南北,,,中国铁建·花语尚东,东丽,金钟街,地铁6号线大毕庄站C出口旁,"轨交房,高绿化率,",126,万,15000,元/㎡
远洋新干线 南北通透 板楼 大产权 带电梯 刚需房,3室,1厅,1卫,86,㎡,南北,低层(共13层),2010年建造,远洋新干线,东丽,空港经济区,"流霞路,近东六道","南北,满五年,",130,万,15117,元/㎡
中交樾公馆 大两居 南北通透 满五 带电梯 房龄新,2室,1厅,1卫,85,㎡,南北,中层(共17层),2016年建造,中交樾公馆,西青,张家窝,枣林大道21号,"南北,满五年,户型方正,人气热搜,",111,万,13059,元/㎡
旭辉御府 不临高铁 好楼层 满5年无个税,3室,2厅,1卫,91.98,㎡,南北,高层(共27层),2015年建造,旭辉御府,西青,中北,"卉康道,近海光路","南北,绿化率高,多人关注,",125.4,万,13634,元/㎡
南北通透 玄关入户 大户型 低单价 品致臻熙 考虑可私聊,3室,2厅,2卫,98,㎡,南北,,,品致臻熙(新房),滨海新区,中新生态城,云溪道与兰溪道交口,"南北通透,厨卫全明,主卧套房,轨交房,",126,万,12858,元/㎡
张家窝 满五 精装好房 正南朝向 电梯房 居住密度低 小区新,3室,2厅,1卫,87.97,㎡,南,高层(共11层),2014年建造,星河香榭园,西青,张家窝,"高泰路,近知景道","南,满五年,绿化率高,多人关注,",122,万,13869,元/㎡
满五   密度低 南北通透 中间楼层采光好 居家自住 保养好,3室,2厅,4卫,199.78,㎡,南北,共1层,2012年建造,星耀五洲澜海庄园(别墅),津南,津南八里台,天嘉湖大道,"南北,热门小区,优势户型,随时可看,",148,万,7409,元/㎡
杨村街 小区新 满五   大两居 装修好 低密宜居 正南朝向,2室,2厅,1卫,86.29,㎡,南,低层(共6层),2014年建造,金都花园(武清),武清,杨村街,"光明道,近翠源路","南,满五年,",115,万,13328,元/㎡
秋瑞家园 医疗配套成熟 电梯房 交通便利 满五  ,2室,1厅,1卫,86.92,㎡,南,中层(共17层),2006年建造,秋瑞家园,北辰,瑞景街,瑞景西道5号,"南,满五年,近地铁,",93,万,10700,元/㎡
南北通透 客餐厅相连 大户型 环城四区 津南华府 欢迎咨询,3室,2厅,1卫,99,㎡,南,,,津南华府,津南,咸水沽,二八线与津南环线交汇处,"轨交房,低容积,",138.6,万,14000,元/㎡
金都花园(武清) 朝南 楼龄新 满五   密度低 大两房,2室,2厅,1卫,86.29,㎡,南,低层(共6层),2014年建造,金都花园(武清),武清,杨村街,"光明道,近翠源路","南,满五年,",120,万,13907,元/㎡
高楼层采光充足 小区新 满五   带电梯 南向采光好,2室,2厅,1卫,81.42,㎡,南,高层(共32层),2016年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南,满五年,",125,万,15353,元/㎡
全明婚房2居室 地采暖 满五年 中间层,2室,2厅,1卫,80.77,㎡,南,低层(共26层),2016年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南,绿化率高,多人关注,",120,万,14858,元/㎡
国企开发 厨卫全明 主卧套房 大户型 低单价 天地源·熙湖畔 无中介费随时看,3室,2厅,2卫,114,㎡,南,,,天地源·熙湖畔,武清,下朱庄街,郎庄子道与天和路交口,"南北通透,厨卫全明,双卫生间,低容积,",148.2,万,13000,元/㎡
华亭国际洋房 低楼层 公摊少 南北通透全明装修好,2室,2厅,1卫,87.27,㎡,南北,低层(共6层),2007年建造,华亭国际,西青,中北,"中北大道,近星光路","南北,",140,万,16043,元/㎡
离梦想很近 实现舒适三房 体验奢华生活 新婚,3室,1厅,1卫,91.05,㎡,南北,高层(共28层),2015年建造,旭辉御府,西青,中北,"卉康道,近海光路","南北,绿化率高,",126,万,13839,元/㎡
急售 十三小 十一中 新城悦隽央著 总价低 看房方便,2室,2厅,1卫,86.49,㎡,南北,低层(共11层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",120,万,13875,元/㎡
卧室全朝南 主卧套房 大户型 环城四区 富力又一城 欢迎咨询,2室,2厅,1卫,91,㎡,南,,,富力又一城,津南,咸水沽,天津大道与东沽路交口,"卧室全朝南,动静分离,客餐厅相连,购物中心,",125,万,13737,元/㎡
雍鑫红星华府 楼层好 南北通透 精装可拎包入住 有电梯,2室,2厅,1卫,87.32,㎡,南北,中层(共17层),2016年建造,雍鑫红星华府,武清,杨村街,新安路,"南北,满五年,",135,万,15461,元/㎡
振业名邸 急售！红桥房本红桥   交通教育医疗资源富集 次新,2室,1厅,1卫,92.38,㎡,南,高层(共23层),2016年建造,振业名邸,红桥,双环邨街,辰兴路,"南,满五年,近地铁,人气热搜,",139,万,15047,元/㎡
首创国际 精装两室 房主自住带车位 南北通透 全明 置换急售,2室,2厅,1卫,88,㎡,南北,低层(共18层),2018年建造,首创国际城,塘沽,工农村街,"泰达大街,近河北路","南北,热门小区,近地铁,公摊小,",78,万,8864,元/㎡
杨村街 商品住宅 小区新 南向采光好 高楼层视野好 满二,3室,2厅,1卫,107.36,㎡,南,高层(共27层),2015年建造,盛世睿园,武清,杨村街,新城南东路东侧,"南,热门小区,南北通透,满五,",128,万,11923,元/㎡
车位充足 大户型 装修交付 来电咨询,3室,2厅,1卫,89,㎡,南北,,,金隅金成熙府,北辰,天穆,顺义道于新峰路交口,"高绿化率,",125,万,14045,元/㎡
碧泉花园 正南朝向 购物方便 大两居,2室,1厅,1卫,88,㎡,南,低层(共6层),2006年建造,碧泉花园,西青,杨柳青,柳霞路,"南,",120,万,13637,元/㎡
杨村街 板楼 大两居 南北通透 精装修 70年产权,2室,2厅,1卫,81,㎡,南北,低层(共32层),2014年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南北,满五年,户型方正,",133,万,16420,元/㎡
雍鑫红星华府 大两房 楼龄新 高楼层采光充足 商品住宅,2室,2厅,0卫,87.32,㎡,南北,高层(共17层),2016年建造,雍鑫红星华府,武清,杨村街,新安路,"南北,满二年,",120,万,13743,元/㎡
卧室全朝南 主卧套房 大户型 环城四区 复地·林与里 无中介费随时看,2室,2厅,1卫,85,㎡,南北,,,复地·林与里,东丽,空港经济区,纬二道与经四路交口,"南北通透,厨卫全明,户型方正,轨交房,",125,万,14706,元/㎡
杨村街 楼龄新 商业配套齐全 环境优美 带电梯 中间好楼层,2室,2厅,1卫,83.54,㎡,南北,中层(共11层),2015年建造,五一阳光锦园,武清,杨村街,"团结路,近强国道","南北,满五年,绿化率高,",126,万,15083,元/㎡
世茂国风雅颂 南北通透 次新房 产权清晰 大两房 停车方便,2室,2厅,1卫,86,㎡,南北,低层(共26层),2020年建造,世茂国风雅颂,武清,黄庄街,滨河道,"南北,热门小区,房东急售,随时可看,",85,万,9884,元/㎡
业主诚售~光明 中富力尚悦居 南向采光好 楼龄新 两居 满五,2室,2厅,1卫,81.31,㎡,南,低层(共32层),2016年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南,满五年,",120,万,14759,元/㎡
复地湖滨广场 房龄新 刚需两居 高楼层视野无遮挡 交通便捷,2室,1厅,1卫,83,㎡,南,高层(共11层),2016年建造,复地湖滨广场,东丽,空港经济区,"中环东路,近东四道","南,满五年,",156,万,18796,元/㎡
卧室全朝南 客餐厅相连 大户型 低单价 大华·国展公园世家 来电价格可议,2室,2厅,1卫,78,㎡,南北,,,大华·国展公园世家,津南,辛庄,国昌路与辛沽道交口,"高绿化率,",140.4,万,18000,元/㎡
雍鑫红星华府 满二   大两房 楼龄新 正南朝向 带电梯,2室,2厅,0卫,88.27,㎡,南,低层(共11层),2016年建造,雍鑫红星华府,武清,杨村街,新安路,"南,满二年,",135,万,15294,元/㎡
旭辉三期精装两室 中间层 满五年 有车位 采光好 急售,2室,2厅,1卫,88.58,㎡,南,中层(共27层),2017年建造,旭辉御府,西青,中北,"卉康道,近海光路","南,满五年,绿化率高,",125,万,14112,元/㎡
宝翠花都探景园 临地铁 交通便捷 刚需两居 产权清晰,2室,1厅,1卫,87.15,㎡,南北,中层(共6层),2006年建造,宝翠花都探景园,北辰,瑞景街,龙泉道,"南北,满五年,近地铁,",136,万,15606,元/㎡
南北通透 私密性好 大户型 恒基旭辉都会江来 欢迎联系看房,2室,2厅,1卫,87,㎡,南北,,,恒基旭辉都会江来,东丽,万新街,卫国道快速与登州路交口南行800米（地铁2号线登州路站南约1000米）,"低容积,",140,万,16092,元/㎡
合适只售128.00万元 报价非常合适 着急出售,2室,2厅,1卫,86.38,㎡,南北,高层(共11层),2021年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",128,万,14819,元/㎡
杨村街 带电梯 满二 房龄新 南北通透 楼层好,2室,2厅,1卫,85,㎡,南北,中层(共18层),2016年建造,通泰香滨城,武清,杨村街,"富民道,近站北路","南北,满二年,户型方正,",148,万,17412,元/㎡
凤栖梧桐翠谷园 临地铁 商品住宅 正南朝向 带电梯 大两房,2室,1厅,1卫,90,㎡,南,高层(共30层),2020年建造,凤栖梧桐翠谷园,滨海新区,中新生态城,"华三路,近新一街","南,满二年,次新房,",146,万,16223,元/㎡
厨卫全明 客餐厅相连 大户型 新城·长风雅著 欢迎联系看房,2室,2厅,1卫,85,㎡,南,,,新城·长风雅著,东丽,空港经济区,东七道与航宇路交口,"南北通透,厨卫全明,玄关入户,低容积,",140,万,16471,元/㎡
保利 河雅颂(北区) 满五   刚需两居 电梯房 朝南,2室,2厅,1卫,83.87,㎡,南,低层(共31层),2010年建造,保利上河雅颂(北区),武清,杨村街,"振华西道,近泉保路","南,VIP房东直卖,满五年,",120,万,14308,元/㎡
尚园 购物方便 满二   带电梯 高楼层视野无遮挡 精装好房,2室,2厅,1卫,85,㎡,南,高层(共16层),2018年建造,尚园,武清,杨村街,富民道,"南,满二年,",117,万,13765,元/㎡
交通便利 中间楼层 低密度社区 南北通透 大两居,2室,1厅,1卫,82.2,㎡,南北,中层(共6层),2005年建造,宜鹏园,北辰,宜兴埠,三千路,"南北,热门小区,近地铁,房东急售,",92,万,11193,元/㎡
贻成学府壹号 南开对面 新房未住 视野无遮挡 商超便利,2室,2厅,1卫,83,㎡,南北,高层(共28层),2020年建造,贻成学府壹号,滨海新区,中新生态城,中天大道,"南北,满二年,车位充足,多人关注,",120,万,14458,元/㎡
厨卫全明 户型方正 大户型 装修交付 天津·中梁公馆 欢迎联系看房,3室,2厅,2卫,106,㎡,南北,,,天津·中梁公馆,塘沽,工农村街,海洋高新区云山道吾悦广场以北，海缘东路以西,"南北通透,厨卫全明,主卧套房,轨交房,",140,万,13208,元/㎡
枫丹天城 商圈成熟 带电梯 满五   小区新 朝南,2室,2厅,0卫,81.77,㎡,南,高层(共32层),2016年建造,枫丹天城,武清,杨村街,"雍阳西道,近翠源路","南,满五年,",120,万,14676,元/㎡
大两居 满五   楼龄新 中间楼层采光好 南向采光好 有电梯,2室,2厅,0卫,86.66,㎡,南,中层(共21层),2017年建造,远洋香奈,武清,杨村街,"翠通路,近强国道","南,满五年,",120,万,13848,元/㎡
枫丹天城 中间楼层 正南朝向 商业配套齐全 大两居 有电梯,2室,1厅,1卫,81.23,㎡,南,中层(共32层),2016年建造,枫丹天城,武清,杨村街,"雍阳西道,近翠源路","南,满五年,",118,万,14527,元/㎡
南北通透 客餐厅相连 大户型 远洋潮起东方 来电价格可议,2室,2厅,1卫,85,㎡,南北,,,远洋潮起东方,东丽,空港经济区,纬二道以北，经二路以西,"南北通透,厨卫全明,玄关入户,轨交房,",140,万,16471,元/㎡
十一中 经纬二期 三居双卫 中高楼层 采光好 满两年,3室,2厅,2卫,120.94,㎡,南,高层(共27层),2023年建造,经纬城市绿洲学知华庭,武清,杨村街,"雍和道,近新开路","南,满二年,车位充足,人气热搜,",125,万,10336,元/㎡
尚智园 商品住宅 小区新 正南朝向 满二   车位充足,2室,2厅,1卫,89.42,㎡,南,低层(共31层),2016年建造,尚智园,津南,北闸口,福惠道,"南,热门小区,近地铁,配套成熟,",62,万,6934,元/㎡
枫丹天城 近光明   精装 拎包入住 好楼层采光好 总价低,2室,2厅,1卫,75.37,㎡,南,中层(共32层),2016年建造,枫丹天城,武清,杨村街,"雍阳西道,近翠源路","南,满五年,",119.5,万,15856,元/㎡
杨村街 车位充足 正南朝向 小三居 正规商品房 次新小区,3室,2厅,1卫,99.96,㎡,南,高层(共24层),2022年建造,香雍玖和,武清,杨村街,"光明道,近新兴路","南,满二年,绿化率高,",127,万,12706,元/㎡
卧室全朝南 户型方正 大户型 绿色住宅 万科运河文化村 来电咨询,3室,2厅,1卫,95,㎡,南北,,,万科运河文化村(新房),北辰,北仓,北运河与永定新河交汇处西南侧,"南北通透,厨卫全明,玄关入户,高绿化率,",123.5,万,13000,元/㎡
新港街祥和家园双阳金角户型主卧带阳台看房有钥匙紧邻热卖 地铁,2室,2厅,1卫,100,㎡,东南,高层(共34层),2010年建造,世纪祥和家园(滨海),塘沽,新港街,春阳路,"东南,满五年,人气热搜,",127,万,12700,元/㎡
万科大2室 院景洋房3楼 自持物业 一梯两户,2室,2厅,1卫,97.65,㎡,南北,中层(共6层),2009年建造,万科假日风景,西青,中北,"中北大道,近星光路","南北,人气热搜,",145,万,14849,元/㎡
新城悦隽央著精装修130万通透两室次新房随时看房,2室,2厅,1卫,89.53,㎡,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",130,万,14521,元/㎡
厨卫全明 客餐厅相连 大户型 天津远郊 碧桂园云河上院 来电价格可议,3室,3厅,3卫,130,㎡,南北,,,碧桂园云河上院(新房),武清,杨村街,南东线与龙凤新河交口东侧碧桂园云河上院,"低容积,",104,万,8000,元/㎡
12中 17小 翠景园 南北通透 购物方便 中间楼层采光好,2室,2厅,1卫,90,㎡,南北,共5层,2010年建造,翠景园(武清),武清,杨村街,泉达路,"南北,满二年,",140,万,15556,元/㎡
   远洋香奈全阳精装两居 位置好近城际 随时看房,2室,2厅,1卫,85.22,㎡,南北,低层(共26层),2015年建造,远洋香奈,武清,杨村街,"翠通路,近强国道","南北,满二年,",140,万,16429,元/㎡
满五   南北通透 2室2厅 精装修 领包入住,2室,2厅,1卫,89.89,㎡,南北,中层(共28层),2010年建造,富力桃园天富园,津南,双港,微山南路,"南北,满五年,近地铁,",120,万,13350,元/㎡
车位充足 大户型 装修交付 欢迎联系看房,3室,2厅,1卫,89,㎡,南北,,,碧桂园·幸福里,塘沽,解放路街,响螺湾海昌极地海洋公园南侧,"购物中心,车位充足,",141,万,15843,元/㎡
紫泉庭苑 次新房 满二 精装修 有电梯 朝南 刚需两居,2室,1厅,1卫,89.45,㎡,南,低层(共14层),2019年建造,紫泉庭苑,武清,杨村街,上善大街57号,"南,满二年,次新房,",138,万,15428,元/㎡
正荣新上 通透H户型 明厨明卫 电梯6楼 不临街 随时看房,2室,1厅,1卫,85,㎡,南北,低层(共26层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南北,热门小区,新上小区,优势户型,",135,万,15883,元/㎡
正荣润璟湾 通透两室 中间楼层 位置好,2室,2厅,1卫,81.16,㎡,南,中层(共26层),2016年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南,热门小区,配套成熟,随时可看,",129,万,15895,元/㎡
南北通透 主卧套房 大户型 低总价 融创宸阅和鸣 来电价格可议,2室,2厅,1卫,79,㎡,南北,,,融创宸阅和鸣(新房),北辰,天穆,朝阳路与顺义道交口（中环线以北1200米），西至新峰路，东至德辰路（规划路）,"南北通透,厨卫全明,动静分离,高绿化率,",135,万,17089,元/㎡
南向采光好 交通便捷 医疗配套成熟 满五 电梯房,2室,2厅,1卫,90,㎡,南,低层(共17层),2017年建造,紫泉庭苑,武清,杨村街,上善大街57号,"南,满五年,采光较好,",138,万,15334,元/㎡
荔城公馆 小区新 商业配套齐全 有电梯 刚需两居 满五  ,2室,2厅,1卫,86.18,㎡,南,高层(共22层),2015年建造,荔城公馆,武清,杨村街,前进道,"南,满五年,",122,万,14157,元/㎡
满五   精装可拎包入住 购物方便 正南朝向 大两居,2室,2厅,1卫,94.28,㎡,南,低层(共22层),2013年建造,盛世郦园,武清,杨村街,"振华西道,近泉达路","南,满五年,",148,万,15698,元/㎡
南北通透 户型方正 大户型 低总价 泽信·云樾天著 考虑可私聊,3室,2厅,1卫,86,㎡,南北,,,泽信·云樾天著,东丽,华明镇,津汉公路北侧弘顺道与永和路交汇处,"南北通透,厨卫全明,客餐厅相连,低容积,",129,万,15000,元/㎡
正荣2期 毛坯2室适合婚房 厨卫全明设计 中间层 次新小区,2室,1厅,1卫,81.48,㎡,南北,中层(共27层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南北,满五年,绿化率高,",120,万,14728,元/㎡
晟卉花园 正规商品房 精装修 满五 中间好楼层 南北通透,3室,2厅,2卫,127,㎡,南北,共4层,2008年建造,晟卉花园,塘沽,西大沽街,"迎宾大道,近天津大道","南北通透,配套成熟,价格优惠,",126,万,9922,元/㎡
正荣2期新上2室 明厨明卫 电梯中间层  次新小区楼龄新,2室,2厅,1卫,82.25,㎡,南,低层(共25层),2015年建造,正荣润璟湾,西青,中北,"御河道,近曦露路","南,满五年,绿化率高,",120,万,14590,元/㎡
新城悦隽央著 停车方便 大两居 精装修 满二 有电梯,2室,2厅,1卫,87.8,㎡,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,",134,万,15262,元/㎡
南北通透 客餐厅相连 大户型 改善置业 万科·翡翠大道 欢迎咨询,3室,2厅,1卫,89,㎡,南北,,,万科·翡翠大道,西青,张家窝,宾水西道延长线南，地铁三号线杨伍庄站旁,"轨交房,高绿化率,",136,万,15281,元/㎡
中建壹方九里宸澜华庭 高楼层采光充足 大两居 商品住宅,2室,2厅,1卫,84,㎡,南北,高层(共11层),2020年建造,中建壹方九里宸澜华庭,武清,杨村街,光明道,"南北,满二年,次新房,",137,万,16310,元/㎡
枫桦园精装两室 中间楼层 地采暖全阳户型 随时看 价格可议,2室,2厅,1卫,86,㎡,南,中层(共25层),2013年建造,枫桦园,西青,中北,中北大道94号,"南,满五年,",125,万,14535,元/㎡
出售 光明中   富力尚悦居 精装三居 好楼层好位置,3室,2厅,1卫,91.21,㎡,南,中层(共32层),2016年建造,富力尚悦居,武清,杨村街,"雍和道,近与翠通路","南,满五年,",128,万,14034,元/㎡
国企开发 南北通透 客餐厅相连 大户型 装修交付 宜禾南湾 欢迎联系看房,3室,2厅,1卫,95,㎡,南北,,,宜禾南湾,滨海新区,中新生态城,海文道与永盛路交口,"南北通透,厨卫全明,客餐厅相连,低容积,",137.8,万,14500,元/㎡
次新房 正南朝向 电梯房 小三房 停车方便 满二,3室,2厅,1卫,94,㎡,南,低层(共11层),2020年建造,新城悦隽央著,武清,杨村街,新安路,"南,满二年,车位充足,",135,万,14362,元/㎡
香雍玖和 次新小区 高绿化 朝南 刚需小三居 满二 超低密度,3室,2厅,1卫,100,㎡,南,高层(共24层),2021年建造,香雍玖和,武清,杨村街,"光明道,近新兴路","南,满二年,绿化率高,多人关注,",125,万,12500,元/㎡
中层金角）拎包即住）本业主熟）直售 少）随时走手续,3室,2厅,1卫,94.98,㎡,南,中层(共22层),2019年建造,旭辉燕南园,西青,精武,京华道21号,"南,满二年,绿化率高,",145,万,15267,元/㎡
南北通透 户型方正 大户型 高性价比 金地万悦城 欢迎联系看房,3室,2厅,2卫,94,㎡,南北,,,金地万悦城,东丽,大毕庄镇,金钟街道大毕庄地铁站C口东行400米,"南北通透,厨卫全明,主卧套房,轨交房,",138,万,14681,元/㎡
盛世郦园 刚需两居 购物方便 装修好 满五 高楼层视野无遮挡,2室,2厅,1卫,94.28,㎡,南,高层(共22层),2013年建造,盛世郦园,武清,杨村街,"振华西道,近泉达路","南,满五年,采光较好,人气热搜,",136,万,14426,元/㎡
急售 新城悦隽央著 赠15万精装 十三小十一中 紧邻杨一城际,2室,2厅,1卫,88,㎡,南北,低层(共7层),2021年建造,新城悦隽央著,武清,杨村街,新安路,"南北,满二年,车位充足,人气热搜,",132,万,15000,元/㎡
新小区 唐望府 通透三室 总价低 随时看房,3室,2厅,1卫,102.84,㎡,南北,中层(共33层),2019年建造,唐望府,塘沽,新河街,津塘公路,"热门小区,南北通透,房东急售,",126,万,12253,元/㎡
刚需小三居 带电梯 满五   楼龄新 商业配套齐全 朝南,3室,2厅,1卫,89.54,㎡,南,低层(共9层),2015年建造,万科四季花城雅园,西青,张家窝,文苑路,"南,满五年,人气热搜,",130,万,14519,元/㎡
国企开发 轨交房 高绿化率 动静分离 自持物业 来电咨询,2室,2厅,1卫,84,㎡,南北,,,中国铁建·花语尚东,东丽,金钟街,地铁6号线大毕庄站C出口旁,"轨交房,高绿化率,",126,万,15000,元/㎡
远洋新干线 南北通透 板楼 大产权 带电梯 刚需房,3室,1厅,1卫,86,㎡,南北,低层(共13层),2010年建造,远洋新干线,东丽,空港经济区,"流霞路,近东六道","南北,满五年,",130,万,15117,元/㎡
中交樾公馆 大两居 南北通透 满五 带电梯 房龄新,2室,1厅,1卫,85,㎡,南北,中层(共17层),2016年建造,中交樾公馆,西青,张家窝,枣林大道21号,"南北,满五年,户型方正,人气热搜,",111,万,13059,元/㎡
旭辉御府 不临高铁 好楼层 满5年无个税,3室,2厅,1卫,91.98,㎡,南北,高层(共27层),2015年建造,旭辉御府,西青,中北,"卉康道,近海光路","南北,绿化率高,多人关注,",125.4,万,13634,元/㎡
