待售房屋,室,厅,面积(平方米),楼层,小区名称,区,镇,道路,标签,价格,价格单位
南开奥城天禧新出好房 精装跃层 配套齐全 交通便利 随时看房,2,2,109.85,高层(共26层)                                                    ,融创奥城天玺,南开,体育中心,凌宾路,"邻地铁,配套齐全,精装修,",6000,元/月
一楼一楼 精装修 家电设施齐全 随时拎包入住 价格可商议，，,1,1,47.8,低层(共6层)                                                    ,蓝岸森林,北辰,北仓,京津路1号,"配套齐全,精装修,南北通透,有阳台,",1300,元/月
时代名居(滨海) 2室2厅1卫 电梯房 精装修 104平,2,2,104,中层(共33层)                                                    ,时代名居(滨海),塘沽,杭州道街,杭州道,"邻地铁,精装修,",2000,元/月
可短租 押一付一 五号线靖江路 河东万达广场 天津站,1,0,30,高层(共9层)                                                    ,一品家园,河东,常州道,卫国道157号,"邻地铁,押一付一,配套齐全,",1550,元/月
第一次出租，房子没毛病，干干净净两室，赶紧抢，房子特别好啊！,2,1,56.18,共5层                                                    ,乐昌里小区,和平,新兴街,卫津路171号,"邻地铁,配套齐全,精装修,",4200,元/月
可短租 可月付 9号线张贵庄地铁站 汇成广场  立德中学,1,1,30,高层(共6层)                                                    ,黄岩里,河东,二号桥,栖霞道,"邻地铁,押一付一,配套齐全,",1000,元/月
丰盛园 1室1厅1卫 配套齐全 精装修 南北通透,1,1,71.97,高层(共24层)                                                    ,丰盛园,河东,大王庄,"八纬路,近十五经路","邻地铁,配套齐全,精装修,",2600,元/月
诚基 包物业采暖 滨江道  南京路 西安道 十一中学耀华中学,1,1,60,中层(共50层)                                                    ,诚基中心国际公寓,和平,体育馆,南京路125号,"邻地铁,配套齐全,精装修,",2300,元/月
可短租月付 鑫谷科创产业园 永旺梦乐城 一号线洪泥河东地铁站,1,1,30,中层(共10层)                                                    ,首创禧悦,津南,辛庄,"鑫怡路,近建明道","押一付一,配套齐全,精装修,南北通透,",1200,元/月
融御融景铭邸 2室1厅2卫 8000.0元 电梯房 精装修,2,1,125.0,低层(共27层)                                                    ,融御融景铭邸,和平,劝业场,滨江道41号,"邻地铁,精装修,",8000,元/月
可月付短租 包物业采暖 康华里四楼 一室 诚意出租 看房随时,1,1,51.04,中层(共6层)                                                    ,康华里,红桥,铃铛阁街,"芥园道,近怡华路","邻地铁,配套齐全,南北通透,",1900,元/月
可短租 可月付 新立九号线地铁站 东丽万达广场 价格可谈,1,1,30,中层(共16层)                                                    ,丰璟雅苑,东丽,新立镇,"富安路,近津塘公路","邻地铁,押一付一,配套齐全,",1400,元/月
外滩附近福星里小区 1室1厅 免物业取暖费出租 拎包入住,1,1,34.02,中层(共6层)                                                    ,福星里,塘沽,解放路街,解放路,"配套齐全,精装修,南北通透,",1000,元/月
一中心医院，63中学旁边。超大主卧，包暖气费,2,1,15,中层(共6层)                                                    ,盈江里,南开,天拖南,"华宁道,近盈江路","独卫,独立阳台,邻地铁,",1200,元/月
堤中里一室整租 红旗南路地铁站3.6号线 随时入住 家电齐全,1,1,47.00,高层(共6层)                                                    ,堤中里,南开,王顶堤,艳阳路,"邻地铁,押一付一,配套齐全,",2100,元/月
恒大帝景新出精装齐全阳面两室 能看海河采光好 随时可看,2,2,90.0,中层(共30层)                                                    ,恒大帝景,河东,富民路,"海河东路,近黑牛城道","邻地铁,配套齐全,精装修,",5000,元/月
可月付可短租独卫 6号线咸水沽地铁站 吾悦广场 海河教育园,1,1,30,低层(共40层)                                                    ,恒大悦府,津南,咸水沽,317省道,"邻地铁,押一付一,配套齐全,",1300,元/月
巨福园大厦一室一厅2200包物业采暖,1,1,50,高层(共8层)                                                    ,巨福园公寓,河东,春华街,"新开路,近华龙道","邻地铁,配套齐全,精装修,",2200,元/月
工农村 贻成豪庭 精装两室 房子干净 包物业采暖费 可短租,2,1,76,低层(共33层)                                                    ,贻成豪庭,塘沽,工农村街,塘汉路789号,"精装修,南北通透,首次出租,随时看房,",1800,元/月
可短租 可月付 靖江路地铁站 远洋国际中心 河东万达 卫国道,1,0,30,中层(共11层)                                                    ,一品家园,河东,常州道,卫国道157号,"邻地铁,押一付一,配套齐全,",1400,元/月
实拍！可月付 凤园南里随时看房 拎包入住  配套齐全 精装修,1,1,46,高层(共7层)                                                    ,凤园南里,南开,王顶堤,苑东路73号,"邻地铁,押一付一,配套齐全,",1900,元/月
刘园儿童医院北辰大厦信誉楼应届生免押金没有中介随时入住可月付,4,1,10,高层(共11层)                                                    ,盛庭丽景花园,北辰,瑞景街,北辰道,"独卫,独立阳台,邻地铁,",830,元/月
富民里 2室1厅1卫,2,1,87.12,中层(共13层)                                                    ,富民里,武清,杨村街,富民道,"配套齐全,精装修,",1500,元
房子精装修，有电梯随时看房，随时入住，可以短租。,2,1,85,高层(共11层)                                                    ,五矿榕园,西青,李七庄,津涞公路,"配套齐全,精装修,南北通透,",2500,元/月
河东爱琴海逸品轩品质小区居住电梯两室好房！干净整洁拎包入住,2,1,50.66,中层(共20层)                                                    ,睿品大厦,河东,上杭路,琳科西路,"邻地铁,配套齐全,精装修,",3000,元/月
颐景公寓 2室1厅1卫 77平 南北通透 电梯房,2,1,77,高层(共12层)                                                    ,颐景公寓,东丽,空港经济区,中心大道66号,"配套齐全,精装修,南北通透,有阳台,",2200,元/月
新城家园精装两室干净整洁包物业采暖随时看,2,1,85,低层(共33层)                                                    ,新城家园,塘沽,新港街,"大连东道,近春风路","邻地铁,配套齐全,精装修,",2550,元/月
急租 急租 急全齐家具家电 位置楼层好 房主好 随时看房,2,2,80,中层(共26层)                                                    ,金谊花园,西青,大寺,芦北路,"配套齐全,精装修,南北通透,有阳台,",1600,元/月
壹方九里  两居 随时看房有钥匙  设施齐全,2,2,87,中层(共8层)                                                    ,中建壹方九里宸澜华庭,武清,杨村街,光明道,"配套齐全,精装修,南北通透,有阳台,",1300,元/月
融泰城三室精装房源，11层到顶小高的二层，楼间距大,3,1,93,低层(共11层)                                                    ,融泰城,西青,李七庄,秀川路215号,"配套齐全,精装修,有阳台,",2800,元/月
熙悦汇 地铁2号线附近 精装修电梯房 家具家电齐全,1,1,49,高层(共29层)                                                    ,熙汇广场,南开,黄河道,南泥湾路4号,"邻地铁,配套齐全,精装修,",2300,元/月
云江新苑  精装一室  有钥匙   家具家电齐全  拎包入住,1,1,57.45,低层(共28层)                                                    ,云江新苑,河西,小海地,"泗水道,近梅林路","邻地铁,配套齐全,精装修,",2000,元/月
龙津园两室一厅，紧邻益中，租金1800元，有意者联系我,2,1,74,中层(共18层)                                                    ,龙津园,西青,大寺,梨双路,"配套齐全,精装修,南北通透,有阳台,",1800,元/月
民盛里小区，包物业，家具家电齐全拎包入住，有钥匙随时看房,2,2,90,中层(共18层)                                                    ,民盛里小区,西青,张家窝,高泰路,"配套齐全,精装修,南北通透,有阳台,",1550,元/月
直降200元康汇医院对面 金谊花园 精装2室 价格嘎嘎便宜,2,2,80,中层(共26层)                                                    ,金谊花园,西青,大寺,芦北路,"配套齐全,精装修,南北通透,有阳台,",1700,元/月
博盛园两室精装修紧临大光明六力二小六中开发区,2,2,95,低层(共18层)                                                    ,博盛园,武清,杨村街,"泉州路,近来源道","配套齐全,精装修,南北通透,有阳台,",1800,元/月
（可短租）免中介费 2号线曹庄站  中北镇 近永旺宜家 月付,1,0,40,高层(共13层)                                                    ,澜湾广场,西青,中北,卉锦道,"押一付一,配套齐全,精装修,首次出租,",1600,元/月
非中介 可短租月付 河南路海洋馆对面天润园精装三室 随时看房,3,1,125,中层(共32层)                                                    ,碧桂园天润园,塘沽,大沽街,"滨河南路,近河南东路","押一付一,配套齐全,精装修,南北通透,",3000,元/月
天成和平里，和平新房，年前订房有优惠，南北通透，拎包入住,2,1,88,低层(共29层)                                                    ,和平里尊盛园,和平,滨江道,南京路,"邻地铁,配套齐全,精装修,",6300,元/月
首租，必租好房，中信附近，五一阳光锦园，两室，精装,2,1,83,低层(共16层)                                                    ,五一阳光锦园,武清,杨村街,"团结路,近强国道","配套齐全,精装修,南北通透,有阳台,",1600,元/月
春华街  万春花园  精装两室拎包入住,2,1,100.87,高层(共29层)                                                    ,万春美钻大厦,河东,春华街,华龙道,"邻地铁,配套齐全,精装修,",3800,元/月
海蓝城，精装修三室，拎包入住,3,1,96,高层(共17层)                                                    ,华远景瑞海蓝城,津南,咸水沽,南华路9号,"配套齐全,精装修,有阳台,首次出租,",2000,元/月
业主特别干净，屋子保持的特别好，都用防尘膜铺着,2,1,93.57,低层(共27层)                                                    ,时代奥城,南开,体育中心,宾水西道,"邻地铁,配套齐全,精装修,",4900,元/月
出租城西，小三室，精装修，每月1800元,2,2,90,中层(共8层)                                                    ,鸿坤花语棠清园,蓟州,渔阳镇,人民西大街,"配套齐全,精装修,南北通透,有阳台,",1800,元/月
泰达港湾两室  精装修  紧凑户型采光好,2,1,88,低层(共16层)                                                    ,泰达港湾,大港,古林街,汉港公路,"配套齐全,精装修,南北通透,有阳台,",1500,元/月
金融街融汇 2室2厅1卫 72平 南北通透 配套齐全,2,2,72.2,高层(共26层)                                                    ,金融街融汇,西青,海泰高新区,海泰南北大街,"配套齐全,精装修,南北通透,",2600,元/月
刚挂上来的电梯好房，带地库，业主租，随时看房入住,2,2,113.97,中层(共24层)                                                    ,时代奥城,南开,体育中心,宾水西道,"邻地铁,配套齐全,精装修,",5200,元/月
南开临水上公园，时代奥城精装修三居，出租，南北通透,2,1,104,低层(共27层)                                                    ,时代奥城,南开,体育中心,宾水西道,"邻地铁,配套齐全,精装修,",5200,元/月
六力陪长的，精装修随时入住有钥匙,2,2,105,中层(共16层)                                                    ,祥福园二期,武清,杨村街,京津公路,"配套齐全,精装修,南北通透,有阳台,",2200,元/月
兆恒广场 2室1厅2卫,2,1,67,高层(共13层)                                                    ,兆恒广场,津南,辛庄,"鑫怡路,近平凡道","配套齐全,精装修,首次出租,",1800,元
姜井家园 3室1厅1卫,3,1,132,中层(共9层)                                                    ,姜井家园,西青,中北,芥园西道,"配套齐全,精装修,南北通透,",3200,元
精装修 公司托管房 包物业费 中介费 免费宽带 维修 保洁,2,2,84,高层(共15层)                                                    ,花样年花郡,武清,下朱庄街,"天和路,近于庄路","配套齐全,精装修,有阳台,首次出租,",1413,元/月
医院对面 电梯房 金谊花园 2室1厅1卫 精装修 配套齐全,2,1,72,中层(共18层)                                                    ,金谊花园,西青,大寺,芦北路,"配套齐全,精装修,有阳台,",1500,元/月
急租，精装修一室电梯房，家具家电齐全拎包入住,1,1,54,低层(共26层)                                                    ,盛和家园,河北,新开河街,南口路,"配套齐全,精装修,南北通透,",1700,元/月
君临大厦 精装1室 拎包入住 带燃气 茂业大厦金街地铁站附近,1,1,82,高层(共42层)                                                    ,君临大厦,河北,光复道街,海河东路76号,"邻地铁,配套齐全,精装修,",2500,元/月
学畔馨园一室一厅远离马路 安静采光好1750元 拎包入住,1,1,55,低层(共25层)                                                    ,学畔馨园,西青,精武,"津涞公路,近工一号路","配套齐全,精装修,有阳台,随时看房,",1750,元/月
急租，精装一室电梯房，家具家电齐全拎包入住,1,1,54.73,中层(共29层)                                                    ,盛和家园,河北,新开河街,南口路,"配套齐全,精装修,南北通透,",1700,元/月
蓝岸森林 1室1厅1卫 1500.0元 精装修50.0平米,1,1,50.0,中层(共6层)                                                    ,蓝岸森林,北辰,北仓,京津路1号,"精装修,",1500,元/月
龙亭家园一梯一户豪华装修4室 看房方便 拎包入住价格可聊,4,3,226,低层(共33层)                                                    ,龙亭家园,南开,鼓楼,"北城街,近城厢东路","邻地铁,配套齐全,精装修,",11000,元/月
祥汇园 1室1厅1卫 1500.0元 电梯房 59.0平米,1,1,59.0,中层(共22层)                                                    ,祥汇园,北辰,集贤里,果园东路,,1500,元/月
可短租月付 5号线2号线靖江路地铁站 滨江道 天津站 唐口,1,1,40,高层(共9层)                                                    ,一品家园,河东,常州道,卫国道157号,"邻地铁,押一付一,配套齐全,",1550,元/月
子牙东里，近地铁一号线，家具家电齐全，拎包入住，看房方便,2,1,37.00,高层(共6层)                                                    ,子牙东里,红桥,西于庄街,临水道,"邻地铁,配套齐全,精装修,",1300,元/月
东升里(北辰) 2室2厅1卫 1500.0元 精装修,2,2,97.63,高层(共6层)                                                    ,东升里(北辰),北辰,果园新村,果园北道36号,"精装修,",1500,元/月
营口道地铁，精装一居室，家电齐全，接受短租，租户稳定。,1,1,55,高层(共50层)                                                    ,诚基中心国际公寓,和平,体育馆,南京路125号,"邻地铁,押一付一,配套齐全,",2600,元/月
可短租月付 海泰产业园 三号线高新区地铁站 华苑 力神电池,1,0,30,中层(共6层)                                                    ,华兴里(西青),西青,中北,海泰南北大街,"押一付一,配套齐全,精装修,",1300,元/月
时代奥城商住楼 1室1厅1卫 75平 电梯房 精装修,1,1,75,中层(共29层)                                                    ,时代奥城商住楼,南开,体育中心,"宾水西道,近凌宾路","邻地铁,精装修,",3500,元/月
整租  大直沽街  东和家园  1室1厅,1,1,50,低层(共28层)                                                    ,东和家园,河东,大直沽,"直沽街,近津塘村道","邻地铁,精装修,",2300,元/月
出租顺和园一室一楼，63平米，价格，1200元,1,1,63,低层(共18层)                                                    ,顺和园,津南,双港,汇川路,"邻地铁,配套齐全,精装修,",1200,元/月
莹华里精装一室，采光无遮挡拎包入住，陪读好房,1,1,56.7,高层(共6层)                                                    ,莹华里,南开,华苑,华苑东路21号,"邻地铁,配套齐全,精装修,",2000,元/月
可短租！血液病医院800米！总医院300米西康路地铁300米,1,1,26,中层(共8层)                                                    ,拉萨道4号楼,和平,滨江道,拉萨道4号,"邻地铁,押一付一,配套齐全,",2200,元/月
义兴南里 新房源 临近海光寺地铁1号线 融侨中心 金融街中心,1,1,35.52,高层(共6层)                                                    ,义兴南里,南开,万兴街,南丰路138号,"配套齐全,精装修,有阳台,",1800,元/月
杰盛里小区，真实图片包物业家具家电齐全有钥匙随时看房,2,2,80,低层(共6层)                                                    ,杰盛里,西青,张家窝,辛老路,"配套齐全,精装修,南北通透,有阳台,",1200,元/月
大张庄，喜凤花园，小外附近3室2厅2卫好房出租,3,2,119.86,低层(共9层)                                                    ,阳光城翡丽公园,北辰,大张庄镇,万河路,"配套齐全,精装修,南北通透,有阳台,",1750,元/月
体南富源里，五楼不到顶，精装两室带厅，室内设施配齐,2,1,60,高层(共6层)                                                    ,富源里(河西),河西,天塔,富有道,"邻地铁,押一付一,精装修,",2400,元/月
可短租！血液病医院800米！总医院300米西康路地铁300米,1,1,26,高层(共8层)                                                    ,拉萨道4号楼,和平,滨江道,拉萨道4号,"邻地铁,押一付一,配套齐全,",2400,元/月
飞云东里 新房源 临近地铁6号线 拎包入住 诚心出租 合适,2,1,62,高层(共6层)                                                    ,飞云东里,南开,万兴街,飞云道30号,"邻地铁,配套齐全,精装修,",2300,元/月
可短租 押一付一 永旺梦乐城 天津商务职业学院 鑫怡路,1,1,30,高层(共11层)                                                    ,首创城星景苑,津南,辛庄,鑫怡路,"押一付一,配套齐全,精装修,南北通透,",1100,元/月
东方家园精装两室拎包入住1200,2,1,82,共4层                                                    ,东方家园,静海,静海镇,东方红路,"配套齐全,精装修,南北通透,有阳台,",1200,元/月
金才园 2室1厅1卫 1600.0元 电梯房 精装修,2,1,77.0,高层(共24层)                                                    ,金才园,津南,咸水沽,雅润路,"邻地铁,配套齐全,精装修,",1600,元/月
王顶堤精装两室，拎包入住，周边配套齐全,2,1,80,高层(共6层)                                                    ,堤北里,南开,王顶堤,艳阳路,"邻地铁,配套齐全,精装修,",2700,元/月
虹都名苑，精装三室，附近交通便利，商圈配套齐全，钥匙在手,3,1,88.11,高层(共32层)                                                    ,亿城堂庭,红桥,咸阳北路街,光荣道113号,"邻地铁,配套齐全,精装修,",3300,元/月
中间楼层 拎包入住 安达里(北辰) 2室1厅1卫 1300,2,1,55.0,共5层                                                    ,安达里(北辰),北辰,集贤里,安达路,"配套齐全,精装修,南北通透,有阳台,",1300,元/月
泰达金色领地 2室精装修步梯3层 干净整洁 设施齐全,2,1,92,中层(共6层)                                                    ,泰达金色领地,宝坻,钰华街,"潮阳大道,近开元路","配套齐全,精装修,有阳台,首次出租,",1000,元/月
地环里 2室1厅1卫 精装修 64平 中环线长虹公园附近,2,1,64.00,低层(共6层)                                                    ,地环里,南开,万兴街,红旗路181号,"邻地铁,配套齐全,精装修,",2400,元/月
师范大学南门一楼65平米一室拎包入住 也可做生意办公1700,1,1,65,共5层                                                    ,富家湾,西青,精武,付村路,"配套齐全,有阳台,随时看房,",1700,元/月
华亭公寓 居民楼 大一室一厅 看房方便 随时入住,1,1,85,高层(共30层)                                                    ,华亭公寓,塘沽,新港街,港滨路,"配套齐全,南北通透,有阳台,",2300,元/月
金地悦城大境 新上3室2厅1卫 家具家电齐全 南北通透电梯房,3,2,102.00,低层(共11层)                                                    ,金地悦城大境,东丽,空港经济区,"航海道,近东七道","配套齐全,精装修,南北通透,有阳台,",3600,元/月
远洋城滨华花园临近未来汇精装一室家电齐拎包入住小区免费停车,1,1,45.0,中层(共26层)                                                    ,远洋城滨华花园,塘沽,胡家园街,京山南道,"配套齐全,有阳台,首次出租,随时看房,",1200,元/月
开发区五大街精装一室押一付一无中介费永旺外包园保税区天大宝丽,1,1,44.24,低层(共9层)                                                    ,德圣公馆,开发区,第四大街,奥运路11,"邻地铁,押一付一,配套齐全,",1800,元/月
可短租！血液病医院800米！总医院300米西康路地铁300米,1,1,25,中层(共8层)                                                    ,拉萨道4号楼,和平,滨江道,拉萨道4号,"邻地铁,押一付一,配套齐全,",2100,元/月
一号桥轻轨旁（金地紫乐广场）精装修loft 拎包入住欢迎咨询,2,2,67.09,中层(共21层)                                                    ,金地紫乐广场,河东,一号桥,钢厂路,"邻地铁,配套齐全,有阳台,",3000,元/月
梦泽家园2居室出租  实拍照片  拎包入住,2,1,78,中层(共15层)                                                    ,梦泽家园,宝坻,海滨街,开元路,"配套齐全,有阳台,随时看房,",1200,元/月
奥翔园 3室2厅2卫 130平 南北通透 电梯房,3,2,130,低层(共24层)                                                    ,奥翔园,南开,体育中心,卫津南路150号,"邻地铁,配套齐全,精装修,",4000,元/月
天秀园三室 包物业取暖1400 房子干净 拎包入住,3,2,100,中层(共17层)                                                    ,天秀园,宝坻,海滨街,林海路,"配套齐全,精装修,南北通透,有阳台,",1400,元/月
熙悦汇 地铁2号线附近 精装修电梯房 空家可办公,1,1,49,中层(共29层)                                                    ,熙汇广场,南开,黄河道,南泥湾路4号,"邻地铁,精装修,",2250,元/月
河西梅江精装修落地窗陪读翔宇水晶采光好距离寰宇城很近可短租长,1,1,45,中层(共29层)                                                    ,花样年喜年广场,河西,梅江南,"解放南路,近浯水道","邻地铁,配套齐全,精装修,",2500,元/月
沁雅苑干净大三室 拎包入住长租 欢迎随时看房,3,1,89,低层(共11层)                                                    ,远洋未来城沁雅苑,北辰,普东街,宜白路,"邻地铁,配套齐全,精装修,",2800,元/月
经纬一期1室1厅1卫   电梯房 紧邻高铁拎包入住,1,1,56,高层(共33层)                                                    ,经纬城市绿洲华清家园,武清,杨村街,"翠通路,近前进道","精装修,",1500,元/月
可短租！可月付！西康路地铁300米！总医院300米！随时看房,1,1,35,中层(共8层)                                                    ,拉萨道4号楼,和平,滨江道,拉萨道4号,"邻地铁,押一付一,配套齐全,",2600,元/月
宏达公寓(滨海) 2室1厅1卫,2,1,96,中层(共15层)                                                    ,宏达公寓(滨海),塘沽,杭州道街,津塘公路792号,"邻地铁,配套齐全,精装修,",2500,元
近地铁 精装一室全齐，随时看房南北通透,1,1,50,低层(共28层)                                                    ,宜彤园,北辰,普东街,普济河东道,"邻地铁,配套齐全,精装修,",1800,元/月
装修很好！温馨阳面！河东爱琴海精装平层商住两用好房！拎包入住,1,1,86.45,中层(共30层)                                                    ,红星大厦,河东,上杭路,琳科西路,"邻地铁,精装修,随时看房,",2800,元/月
港明里 精装修 三楼 干净 采光好 家电全 拎包住 随时看房,2,1,63,中层(共6层)                                                    ,港明里,大港,迎宾街,世纪大道,"配套齐全,精装修,有阳台,随时看房,",1500,元/月
贝肯山莫缇园精装2室 出租价格美丽，看房方便我有钥匙,2,2,110.0,高层(共6层)                                                    ,贝肯山莫缇园,开发区,第二大街,"第二大街,近北海路","邻地铁,配套齐全,精装修,",5000,元/月
可短租月付 梅江会展中心山姆会员超市永旺梦乐城梅江店温州国际,1,1,40,中层(共6层)                                                    ,格调平园逸潞园,西青,新梅江南,汇川路,"押一付一,配套齐全,精装修,",1400,元/月
精装两室 中楼层 近地铁 紧临河东万达爱琴海配备齐全拎包入住,2,1,77.88,中层(共6层)                                                    ,万和里,河东,上杭路,顺达路,"邻地铁,配套齐全,精装修,",3000,元/月
九州国际精装两室一厅非常干净整洁家具家电齐全拎包住,2,1,86,高层(共34层)                                                    ,九州国际,南开,鼓楼,南城街857号,"邻地铁,配套齐全,精装修,",4300,元/月
急租  随时看房  生活居家好地方,2,1,88,高层(共24层)                                                    ,富力津门湖景尚嘉郡花园,西青,李七庄,江湾路,"邻地铁,配套齐全,精装修,",3500,元/月
七贤南里(商住楼) 3室1厅1卫,3,1,67,中层(共22层)                                                    ,七贤南里(商住楼),河西,土城,大沽南路934号,"邻地铁,配套齐全,精装修,",3900,元
生态城 北师大枫丹园 精装三室 齐全 有钥匙,3,2,85,中层(共11层)                                                    ,班芙小镇枫丹园,滨海新区,中新生态城,荣盛路,"配套齐全,精装修,南北通透,有阳台,",2500,元/月
丰盛园带电梯 阳面一室 精装修 拎包即住 看房有钥匙 临学校,1,1,52.33,高层(共11层)                                                    ,丰盛园,河东,大王庄,"八纬路,近十五经路","邻地铁,",3000,元/月
整租 津铁和苑 精装两室 全明户型 紧邻医大二院地铁站 急租,2,1,94,中层(共33层)                                                    ,津铁和苑,河西,梅江,郁江道,"邻地铁,配套齐全,精装修,",3600,元/月
金才园一室出租，干净整洁，拎包入住，可短租，可押一付一。,1,1,60,低层(共28层)                                                    ,金才园,津南,咸水沽,雅润路,"邻地铁,押一付一,配套齐全,",1500,元/月
新祥园 精装一室 家具家电齐全 干净出租,1,1,58,低层(共22层)                                                    ,新旭园,津南,咸水沽,南华路,"配套齐全,精装修,有阳台,随时看房,",1200,元/月
润景家园 3室1厅1卫 电梯房 精装修 南北通透,3,1,89.05,中层(共11层)                                                    ,润景家园,东丽,张贵庄街,惠山道,"配套齐全,精装修,南北通透,",2400,元/月
城市之星精装修，后广场地铁周边，拎包入住,1,1,40.5,高层(共17层)                                                    ,城市之星大厦,河东,春华街,华龙道80号,"邻地铁,配套齐全,有阳台,",1600,元/月
柳溪苑院内  广悦里，4 层，两室，全齐，1100 拎包住,2,1,76,中层(共6层)                                                    ,广悦里,西青,杨柳青,"青致路,近新华道","配套齐全,精装修,南北通透,有阳台,",1100,元/月
嘉里汇 渤海银行 十一经路 大王庄地铁 过桥和平 紧挨天津站,1,1,56,低层(共32层)                                                    ,绚丽园,河东,大王庄,北长路1号,"邻地铁,配套齐全,精装修,",2500,元/月
聚泉楼两室拎包入住1100供暖中,2,2,82,共5层                                                    ,地税聚泉楼,静海,静海镇,东方红路,"配套齐全,精装修,有阳台,随时看房,",1100,元/月
整租 三义大厦 精装大一室 紧邻国贸购物 下瓦房地铁站附近,1,1,50,中层(共27层)                                                    ,三义大厦小区,河西,大营门,南昌路68号,"邻地铁,配套齐全,精装修,",2500,元/月
轻轨对面  电梯房  时代大厦  出行购物方便  诚心出租,1,1,44,中层(共34层)                                                    ,时代大厦,塘沽,向阳街,河北路1431号,"邻地铁,配套齐全,精装修,",1500,元/月
气象新苑  免物业取暖 2室7层 85平 配套齐全 电梯房,2,1,77,中层(共11层)                                                    ,气象新苑,宝坻,朝霞街,环城西路,"配套齐全,精装修,有阳台,首次出租,",1200,元/月
急租！王顶堤附近一居室电梯房精装修,1,1,60.47,中层(共18层)                                                    ,堤北里,南开,王顶堤,艳阳路,"邻地铁,配套齐全,精装修,",2600,元/月
赏湖苑 3室2厅1卫,3,2,92.67,中层(共11层)                                                    ,赏湖苑,东丽,东丽湖,情景大道,"配套齐全,精装修,南北通透,",1550,元
盛锦园 2室1厅1卫 1900.0元 电梯房 精装修,2,1,92.0,高层(共20层)                                                    ,盛锦园,北辰,青光,新景道,"精装修,",1900,元/月
中心北里  精装修两室 看房方便,2,1,78,高层(共6层)                                                    ,中心北里,塘沽,杭州道街,中心北路1740号,"配套齐全,精装修,有阳台,",1500,元/月
东方尚都 1室1厅1卫,1,1,40,低层(共27层)                                                    ,东方尚都,宁河,芦台镇,津榆支路,"配套齐全,精装修,南北通透,",999,元
大港区 胜利街 三春里 一室一厅 四楼 精装修 设施齐全拎包,1,1,55,共5层                                                    ,三春里,大港,胜利街,胜利街571号,"配套齐全,精装修,南北通透,有阳台,",1400,元/月
福泰温泉公寓 空房三室！! 可办公可居住 长租可议,3,1,135.06,低层(共10层)                                                    ,福泰温泉公寓,和平,体育馆,岳阳道88号,"邻地铁,精装修,随时看房,",6500,元/月
天塔街 肿瘤医院地铁站 5 6 号线 精装修,1,1,54.87,高层(共6层)                                                    ,体院宿舍,河西,天塔,环湖中路16号,"邻地铁,配套齐全,精装修,",1700,元/月
可短租 可月付 解放南路六号线 西青万达广场 天津节水科技馆,1,0,30,中层(共6层)                                                    ,梨双公寓,西青,大寺,梨双公路,"押一付一,配套齐全,精装修,南北通透,",998,元/月
